Here is a test file you can use (from http://unicode.org/cldr/utility/list-unicodeset.jsp?a=[^[:c:][:z:][:di:]]&abb=on&ucd=on)

Every codepoint within one of these ranges (in field 0) should succeed, and every codepoint outside of these ranges should fail. Even testing that the first of each range works, and the last+1 fails would be a good test.

0021..007E ; TILDE
11305..1130C ; GRANTHA LETTER VOCALIC L
1130F ; GRANTHA LETTER EE
11310 ; GRANTHA LETTER AI
11313..11328 ; GRANTHA LETTER NA
1132A..11330 ; GRANTHA LETTER RA
11332 ; GRANTHA LETTER LA
11333 ; GRANTHA LETTER LLA
11335..11339 ; GRANTHA LETTER HA
1133C..11344 ; GRANTHA VOWEL SIGN VOCALIC RR
11347 ; GRANTHA VOWEL SIGN EE
11348 ; GRANTHA VOWEL SIGN AI
1134B..1134D ; GRANTHA SIGN VIRAMA
11350 ; GRANTHA OM
11357 ; GRANTHA AU LENGTH MARK
1135D..11363 ; GRANTHA VOWEL SIGN VOCALIC LL
11366..1136C ; COMBINING GRANTHA DIGIT SIX
11370..11374 ; COMBINING GRANTHA LETTER PA
11480..114C7 ; TIRHUTA OM
114D0..114D9 ; TIRHUTA DIGIT NINE
11580..115B5 ; SIDDHAM VOWEL SIGN VOCALIC RR
115B8..115DD ; SIDDHAM VOWEL SIGN ALTERNATE UU
11600..11644 ; MODI SIGN HUVA
11650..11659 ; MODI DIGIT NINE
11680..116B7 ; TAKRI SIGN NUKTA
116C0..116C9 ; TAKRI DIGIT NINE
11700..11719 ; AHOM LETTER JHA
1171D..1172B ; AHOM SIGN KILLER
11730..1173F ; AHOM SYMBOL VI
118A0..118F2 ; WARANG CITI NUMBER NINETY
118FF ; WARANG CITI OM
11AC0..11AF8 ; PAU CIN HAU GLOTTAL STOP FINAL
12000..12399 ; CUNEIFORM SIGN U U
12400..1246E ; CUNEIFORM NUMERIC SIGN NINE U VARIANT FORM
12470..12474 ; CUNEIFORM PUNCTUATION SIGN DIAGONAL QUADCOLON
12480..12543 ; CUNEIFORM SIGN ZU5 TIMES THREE DISH TENU
13000..1342E ; EGYPTIAN HIEROGLYPH AA032
14400..14646 ; ANATOLIAN HIEROGLYPH A530
16800..16A38 ; BAMUM LETTER PHASE-F VUEQ
16A40..16A5E ; MRO LETTER TEK
16A60..16A69 ; MRO DIGIT NINE
16A6E ; MRO DANDA
16A6F ; MRO DOUBLE DANDA
16AD0..16AED ; BASSA VAH LETTER I
16AF0..16AF5 ; BASSA VAH FULL STOP
16B00..16B45 ; PAHAWH HMONG SIGN CIM TSOV ROG
16B50..16B59 ; PAHAWH HMONG DIGIT NINE
16B5B..16B61 ; PAHAWH HMONG NUMBER TRILLIONS
16B63..16B77 ; PAHAWH HMONG SIGN CIM NRES TOS
16B7D..16B8F ; PAHAWH HMONG CLAN SIGN VWJ
16F00..16F44 ; MIAO LETTER HHA
16F50..16F7E ; MIAO VOWEL SIGN NG
16F8F..16F9F ; MIAO LETTER REFORMED TONE-8
1B000 ; KATAKANA LETTER ARCHAIC E
1B001 ; HIRAGANA LETTER ARCHAIC YE
1BC00..1BC6A ; DUPLOYAN LETTER VOCALIC M
1BC70..1BC7C ; DUPLOYAN AFFIX ATTACHED TANGENT HOOK
1BC80..1BC88 ; DUPLOYAN AFFIX HIGH VERTICAL
1BC90..1BC99 ; DUPLOYAN AFFIX LOW ARROW
1BC9C..1BC9F ; DUPLOYAN PUNCTUATION CHINOOK FULL STOP
1D000..1D0F5 ; BYZANTINE MUSICAL SYMBOL GORGON NEO KATO
1D100..1D126 ; MUSICAL SYMBOL DRUM CLEF-2
1D129..1D172 ; MUSICAL SYMBOL COMBINING FLAG-5
1D17B..1D1E8 ; MUSICAL SYMBOL KIEVAN FLAT SIGN
1D200..1D245 ; GREEK MUSICAL LEIMMA
1D300..1D356 ; TETRAGRAM FOR FOSTERING
1D360..1D371 ; COUNTING ROD TENS DIGIT NINE
1D400..1D454 ; MATHEMATICAL ITALIC SMALL G
1D456..1D49C ; MATHEMATICAL SCRIPT CAPITAL A
1D49E ; MATHEMATICAL SCRIPT CAPITAL C
1D49F ; MATHEMATICAL SCRIPT CAPITAL D
1D4A2 ; MATHEMATICAL SCRIPT CAPITAL G
1D4A5 ; MATHEMATICAL SCRIPT CAPITAL J
1D4A6 ; MATHEMATICAL SCRIPT CAPITAL K
1D4A9..1D4AC ; MATHEMATICAL SCRIPT CAPITAL Q
1D4AE..1D4B9 ; MATHEMATICAL SCRIPT SMALL D
1D4BB ; MATHEMATICAL SCRIPT SMALL F
1D4BD..1D4C3 ; MATHEMATICAL SCRIPT SMALL N
1D4C5..1D505 ; MATHEMATICAL FRAKTUR CAPITAL B
1D507..1D50A ; MATHEMATICAL FRAKTUR CAPITAL G
1D50D..1D514 ; MATHEMATICAL FRAKTUR CAPITAL Q
1D516..1D51C ; MATHEMATICAL FRAKTUR CAPITAL Y
1D51E..1D539 ; MATHEMATICAL DOUBLE-STRUCK CAPITAL B
1D53B..1D53E ; MATHEMATICAL DOUBLE-STRUCK CAPITAL G
1D540..1D544 ; MATHEMATICAL DOUBLE-STRUCK CAPITAL M
1D546 ; MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D54A..1D550 ; MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
1D552..1D6A5 ; MATHEMATICAL ITALIC SMALL DOTLESS J
1D6A8..1D7CB ; MATHEMATICAL BOLD SMALL DIGAMMA
1D7CE..1DA8B ; SIGNWRITING PARENTHESIS
1DA9B..1DA9F ; SIGNWRITING FILL MODIFIER-6
1DAA1..1DAAF ; SIGNWRITING ROTATION MODIFIER-16
1E800..1E8C4 ; MENDE KIKAKUI SYLLABLE M060 NYON
1E8C7..1E8D6 ; MENDE KIKAKUI COMBINING NUMBER MILLIONS
1EE00..1EE03 ; ARABIC MATHEMATICAL DAL
1EE05..1EE1F ; ARABIC MATHEMATICAL DOTLESS QAF
1EE21 ; ARABIC MATHEMATICAL INITIAL BEH
1EE22 ; ARABIC MATHEMATICAL INITIAL JEEM
1EE24 ; ARABIC MATHEMATICAL INITIAL HEH
1EE27 ; ARABIC MATHEMATICAL INITIAL HAH
1EE29..1EE32 ; ARABIC MATHEMATICAL INITIAL QAF
1EE34..1EE37 ; ARABIC MATHEMATICAL INITIAL KHAH
1EE39 ; ARABIC MATHEMATICAL INITIAL DAD
1EE3B ; ARABIC MATHEMATICAL INITIAL GHAIN
1EE42 ; ARABIC MATHEMATICAL TAILED JEEM
1EE47 ; ARABIC MATHEMATICAL TAILED HAH
1EE49 ; ARABIC MATHEMATICAL TAILED YEH
1EE4B ; ARABIC MATHEMATICAL TAILED LAM
1EE4D..1EE4F ; ARABIC MATHEMATICAL TAILED AIN
1EE51 ; ARABIC MATHEMATICAL TAILED SAD
1EE52 ; ARABIC MATHEMATICAL TAILED QAF
1EE54 ; ARABIC MATHEMATICAL TAILED SHEEN
1EE57 ; ARABIC MATHEMATICAL TAILED KHAH
1EE59 ; ARABIC MATHEMATICAL TAILED DAD
1EE5B ; ARABIC MATHEMATICAL TAILED GHAIN
1EE5D ; ARABIC MATHEMATICAL TAILED DOTLESS NOON
1EE5F ; ARABIC MATHEMATICAL TAILED DOTLESS QAF
1EE61 ; ARABIC MATHEMATICAL STRETCHED BEH
1EE62 ; ARABIC MATHEMATICAL STRETCHED JEEM
1EE64 ; ARABIC MATHEMATICAL STRETCHED HEH
1EE67..1EE6A ; ARABIC MATHEMATICAL STRETCHED KAF
1EE6C..1EE72 ; ARABIC MATHEMATICAL STRETCHED QAF
1EE74..1EE77 ; ARABIC MATHEMATICAL STRETCHED KHAH
1EE79..1EE7C ; ARABIC MATHEMATICAL STRETCHED DOTLESS BEH
1EE7E ; ARABIC MATHEMATICAL STRETCHED DOTLESS FEH
1EE80..1EE89 ; ARABIC MATHEMATICAL LOOPED YEH
1EE8B..1EE9B ; ARABIC MATHEMATICAL LOOPED GHAIN
1EEA1..1EEA3 ; ARABIC MATHEMATICAL DOUBLE-STRUCK DAL
1EEA5..1EEA9 ; ARABIC MATHEMATICAL DOUBLE-STRUCK YEH
1EEAB..1EEBB ; ARABIC MATHEMATICAL DOUBLE-STRUCK GHAIN
1EEF0 ; ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL
1EEF1 ; ARABIC MATHEMATICAL OPERATOR HAH WITH DAL
1F000..1F02B ; MAHJONG TILE BACK
1F030..1F093 ; DOMINO TILE VERTICAL-06-06
1F0A0..1F0AE ; PLAYING CARD KING OF SPADES
1F0B1..1F0BF ; PLAYING CARD RED JOKER
1F0C1..1F0CF ; PLAYING CARD BLACK JOKER
1F0D1..1F0F5 ; PLAYING CARD TRUMP-21
1F100..1F10C ; DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ZERO
1F110..1F12E ; CIRCLED WZ
1F130..1F16B ; RAISED MD SIGN
1F170..1F19A ; SQUARED VS
1F1E6..1F202 ; SQUARED KATAKANA SA
1F210..1F23A ; SQUARED CJK UNIFIED IDEOGRAPH-55B6
1F240..1F248 ; TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557
1F250 ; CIRCLED IDEOGRAPH ADVANTAGE
1F251 ; CIRCLED IDEOGRAPH ACCEPT
1F300..1F579 ; JOYSTICK
1F57B..1F5A3 ; BLACK DOWN POINTING BACKHAND INDEX
1F5A5..1F6D0 ; PLACE OF WORSHIP
1F6E0..1F6EC ; AIRPLANE ARRIVING
1F6F0..1F6F3 ; PASSENGER SHIP
1F700..1F773 ; ALCHEMICAL SYMBOL FOR HALF OUNCE
1F780..1F7D4 ; HEAVY TWELVE POINTED PINWHEEL STAR
1F800..1F80B ; DOWNWARDS ARROW WITH LARGE TRIANGLE ARROWHEAD
1F810..1F847 ; DOWNWARDS HEAVY ARROW
1F850..1F859 ; UP DOWN SANS-SERIF ARROW
1F860..1F887 ; WIDE-HEADED SOUTH WEST VERY HEAVY BARB ARROW
1F890..1F8AD ; WHITE ARROW SHAFT WIDTH TWO THIRDS
1F910..1F918 ; SIGN OF THE HORNS
1F980..1F984 ; UNICORN FACE
1F9C0 ; CHEESE WEDGE
20000..2A6D6 ; CJK UNIFIED IDEOGRAPH-2A6D6
2A700..2B734 ; CJK UNIFIED IDEOGRAPH-2B734
2B740..2B81D ; CJK UNIFIED IDEOGRAPH-2B81D
2B820..2CEA1 ; CJK UNIFIED IDEOGRAPH-2CEA1
2F800..2FA1D ; CJK COMPATIBILITY IDEOGRAPH-2FA1D

