0041 ; 0061
F9A9 ; 56F9
F9AA ; 5BE7
F9AB ; 5DBA
F9AC ; 601C
F9AD ; 73B2
F9AE ; 7469
F9AF ; 7F9A
F9B0 ; 8046
F9B1 ; 9234
F9B2 ; 96F6
F9B3 ; 9748
F9B4 ; 9818
F9B5 ; 4F8B
F9B6 ; 79AE
F9B7 ; 91B4
F9B8 ; 96B8
F9B9 ; 60E1
F9BA ; 4E86
F9BB ; 50DA
F9BC ; 5BEE
F9BD ; 5C3F
F9BE ; 6599
F9BF ; 6A02
F9C0 ; 71CE
F9C1 ; 7642
F9C2 ; 84FC
F9C3 ; 907C
F9C4 ; 9F8D
F9C5 ; 6688
F9C6 ; 962E
F9C7 ; 5289
F9C8 ; 677B
F9C9 ; 67F3
F9CA ; 6D41
F9CB ; 6E9C
F9CC ; 7409
F9CD ; 7559
F9CE ; 786B
F9CF ; 7D10
F9D0 ; 985E
F9D1 ; 516D
F9D2 ; 622E
F9D3 ; 9678
F9D4 ; 502B
F9D5 ; 5D19
F9D6 ; 6DEA
F9D7 ; 8F2A
F9D8 ; 5F8B
F9D9 ; 6144
F9DA ; 6817
F9DB ; 7387
F9DC ; 9686
F9DD ; 5229
F9DE ; 540F
F9DF ; 5C65
F9E0 ; 6613
F9E1 ; 674E
F9E2 ; 68A8
F9E3 ; 6CE5
F9E4 ; 7406
F9E5 ; 75E2
F9E6 ; 7F79
F9E7 ; 88CF
F9E8 ; 88E1
F9E9 ; 91CC
F9EA ; 96E2
F9EB ; 533F
F9EC ; 6EBA
F9ED ; 541D
F9EE ; 71D0
F9EF ; 7498
F9F0 ; 85FA
F9F1 ; 96A3
F9F2 ; 9C57
F9F3 ; 9E9F
F9F4 ; 6797
F9F5 ; 6DCB
F9F6 ; 81E8
F9F7 ; 7ACB
F9F8 ; 7B20
F9F9 ; 7C92
F9FA ; 72C0
F9FB ; 7099
F9FC ; 8B58
F9FD ; 4EC0
F9FE ; 8336
F9FF ; 523A
FA00 ; 5207
FA01 ; 5EA6
FA02 ; 62D3
FA03 ; 7CD6
FA04 ; 5B85
FA05 ; 6D1E
FA06 ; 66B4
FA07 ; 8F3B
FA08 ; 884C
FA09 ; 964D
FA0A ; 898B
FA0B ; 5ED3
FA0C ; 5140
FA0D ; 55C0
FA10 ; 585A
FA12 ; 6674
FA15 ; 51DE
FA16 ; 732A
FA17 ; 76CA
FA18 ; 793C
FA19 ; 795E
FA1A ; 7965
FA1B ; 798F
FA1C ; 9756
FA1D ; 7CBE
FA1E ; 7FBD
FA20 ; 8612
FA22 ; 8AF8
FA25 ; 9038
FA26 ; 90FD
FA2A ; 98EF
FA2B ; 98FC
FA2C ; 9928
FA2D ; 9DB4
FA30 ; 4FAE
FA31 ; 50E7
FA32 ; 514D
FA33 ; 52C9
FA34 ; 52E4
FA35 ; 5351
FA36 ; 559D
FA37 ; 5606
FA38 ; 5668
FA39 ; 5840
FA3A ; 58A8
FA3B ; 5C64
FA3C ; 5C6E
FA3D ; 6094
FA3E ; 6168
FA3F ; 618E
FA40 ; 61F2
FA41 ; 654F
FA42 ; 65E2
FA43 ; 6691
FA44 ; 6885
FA45 ; 6D77
FA46 ; 6E1A
FA47 ; 6F22
FA48 ; 716E
FA49 ; 722B
FA4A ; 7422
FA4B ; 7891
FA4C ; 793E
FA4D ; 7949
FA4E ; 7948
FA4F ; 7950
FA50 ; 7956
FA51 ; 795D
FA52 ; 798D
FA53 ; 798E
FA54 ; 7A40
FA55 ; 7A81
FA56 ; 7BC0
FA57 ; 7DF4
FA58 ; 7E09
FA59 ; 7E41
FA5A ; 7F72
FA5B ; 8005
FA5C ; 81ED
FA5D ; 8279
FA5E ; 8279
FA5F ; 8457
FA60 ; 8910
FA61 ; 8996
FA62 ; 8B01
FA63 ; 8B39
FA64 ; 8CD3
FA65 ; 8D08
FA66 ; 8FB6
FA67 ; 9038
FA68 ; 96E3
FA69 ; 97FF
FA6A ; 983B
FA6B ; 6075
FA6C ; 242EE
FA6D ; 8218
FA70 ; 4E26
FA71 ; 51B5
FA72 ; 5168
FA73 ; 4F80
FA74 ; 5145
FA75 ; 5180
FA76 ; 52C7
FA77 ; 52FA
FA78 ; 559D
FA79 ; 5555
FA7A ; 5599
FA7B ; 55E2
FA7C ; 585A
FA7D ; 58B3
FA7E ; 5944
FA7F ; 5954
FA80 ; 5A62
FA81 ; 5B28
FA82 ; 5ED2
FA83 ; 5ED9
FA84 ; 5F69
FA85 ; 5FAD
FA86 ; 60D8
FA87 ; 614E
FA88 ; 6108
FA89 ; 618E
FA8A ; 6160
FA8B ; 61F2
FA8C ; 6234
FA8D ; 63C4
FA8E ; 641C
FA8F ; 6452
FA90 ; 6556
FA91 ; 6674
FA92 ; 6717
FA93 ; 671B
FA94 ; 6756
FA95 ; 6B79
FA96 ; 6BBA
FA97 ; 6D41
FA98 ; 6EDB
FA99 ; 6ECB
FA9A ; 6F22
FA9B ; 701E
FA9C ; 716E
FA9D ; 77A7
FA9E ; 7235
FA9F ; 72AF
FAA0 ; 732A
FAA1 ; 7471
FAA2 ; 7506
FAA3 ; 753B
FAA4 ; 761D
FAA5 ; 761F
FAA6 ; 76CA
FAA7 ; 76DB
FAA8 ; 76F4
FAA9 ; 774A
FAAA ; 7740
FAAB ; 78CC
FAAC ; 7AB1
FAAD ; 7BC0
FAAE ; 7C7B
FAAF ; 7D5B
FAB0 ; 7DF4
FAB1 ; 7F3E
FAB2 ; 8005
FAB3 ; 8352
FAB4 ; 83EF
FAB5 ; 8779
FAB6 ; 8941
FAB7 ; 8986
FAB8 ; 8996
FAB9 ; 8ABF
FABA ; 8AF8
FABB ; 8ACB
FABC ; 8B01
FABD ; 8AFE
FABE ; 8AED
FABF ; 8B39
FAC0 ; 8B8A
FAC1 ; 8D08
FAC2 ; 8F38
FAC3 ; 9072
FAC4 ; 9199
FAC5 ; 9276
FAC6 ; 967C
FAC7 ; 96E3
FAC8 ; 9756
FAC9 ; 97DB
FACA ; 97FF
FACB ; 980B
FACC ; 983B
FACD ; 9B12
FACE ; 9F9C
FACF ; 2284A
FAD0 ; 22844
FAD1 ; 233D5
FAD2 ; 3B9D
FAD3 ; 4018
FAD4 ; 4039
FAD5 ; 25249
FAD6 ; 25CD0
FAD7 ; 27ED3
FAD8 ; 9F43
FAD9 ; 9F8E
FB00 ; 0066 0066
FB01 ; 0066 0069
FB02 ; 0066 006C
FB03 ; 0066 0066 0069
FB04 ; 0066 0066 006C
FB05 ; 0073 0074
FB06 ; 0073 0074
FB13 ; 0574 0576
FB14 ; 0574 0565
FB15 ; 0574 056B
FB16 ; 057E 0576
FB17 ; 0574 056D
FB1D ; 05D9 05B4
FB1F ; 05D9 05D9 05B7
FB20 ; 05E2
FB21 ; 05D0
FB22 ; 05D3
FB23 ; 05D4
FB24 ; 05DB
FB25 ; 05DC
FB26 ; 05DD
FB27 ; 05E8
FB28 ; 05EA
FB2A ; 05E9 05C1
FB2B ; 05E9 05C2
FB2C ; 05E9 05BC 05C1
FB2D ; 05E9 05BC 05C2
FB2E ; 05D0 05B7
FB2F ; 05D0 05B8
FB30 ; 05D0 05BC
FB31 ; 05D1 05BC
FB32 ; 05D2 05BC
FB33 ; 05D3 05BC
FB34 ; 05D4 05BC
FB35 ; 05D5 05BC
FB36 ; 05D6 05BC
FB38 ; 05D8 05BC
FB39 ; 05D9 05BC
FB3A ; 05DA 05BC
FB3B ; 05DB 05BC
FB3C ; 05DC 05BC
FB3E ; 05DE 05BC
FB40 ; 05E0 05BC
FB41 ; 05E1 05BC
FB43 ; 05E3 05BC
FB44 ; 05E4 05BC
FB46 ; 05E6 05BC
FB47 ; 05E7 05BC
FB48 ; 05E8 05BC
FB49 ; 05E9 05BC
FB4A ; 05EA 05BC
FB4B ; 05D5 05B9
FB4C ; 05D1 05BF
FB4D ; 05DB 05BF
FB4E ; 05E4 05BF
FB4F ; 05D0 05DC
FB50 ; 0671
FB51 ; 0671
FB52 ; 067B
FB53 ; 067B
FB54 ; 067B
FB55 ; 067B
FB56 ; 067E
FB57 ; 067E
FB58 ; 067E
FB59 ; 067E
FB5A ; 0680
FB5B ; 0680
FB5C ; 0680
FB5D ; 0680
FB5E ; 067A
FB5F ; 067A
FB60 ; 067A
FB61 ; 067A
FB62 ; 067F
FB63 ; 067F
FB64 ; 067F
FB65 ; 067F
FB66 ; 0679
FB67 ; 0679
FB68 ; 0679
FB69 ; 0679
FB6A ; 06A4
FB6B ; 06A4
FB6C ; 06A4
FB6D ; 06A4
FB6E ; 06A6
FB6F ; 06A6
FB70 ; 06A6
FB71 ; 06A6
FB72 ; 0684
FB73 ; 0684
FB74 ; 0684
FB75 ; 0684
FB76 ; 0683
FB77 ; 0683
FB78 ; 0683
FB79 ; 0683
FB7A ; 0686
FB7B ; 0686
FB7C ; 0686
FB7D ; 0686
FB7E ; 0687
FB7F ; 0687
FB80 ; 0687
FB81 ; 0687
FB82 ; 068D
FB83 ; 068D
FB84 ; 068C
FB85 ; 068C
FB86 ; 068E
FB87 ; 068E
FB88 ; 0688
FB89 ; 0688
FB8A ; 0698
FB8B ; 0698
FB8C ; 0691
FB8D ; 0691
FB8E ; 06A9
FB8F ; 06A9
FB90 ; 06A9
FB91 ; 06A9
FB92 ; 06AF
FB93 ; 06AF
FB94 ; 06AF
FB95 ; 06AF
FB96 ; 06B3
FB97 ; 06B3
FB98 ; 06B3
FB99 ; 06B3
FB9A ; 06B1
FB9B ; 06B1
FB9C ; 06B1
FB9D ; 06B1
FB9E ; 06BA
FB9F ; 06BA
FBA0 ; 06BB
FBA1 ; 06BB
FBA2 ; 06BB
FBA3 ; 06BB
FBA4 ; 06C0
FBA5 ; 06C0
FBA6 ; 06C1
FBA7 ; 06C1
FBA8 ; 06C1
FBA9 ; 06C1
FBAA ; 06BE
FBAB ; 06BE
FBAC ; 06BE
FBAD ; 06BE
FBAE ; 06D2
FBAF ; 06D2
FBB0 ; 06D3
FBB1 ; 06D3
FBD3 ; 06AD
FBD4 ; 06AD
FBD5 ; 06AD
FBD6 ; 06AD
FBD7 ; 06C7
FBD8 ; 06C7
FBD9 ; 06C6
FBDA ; 06C6
FBDB ; 06C8
FBDC ; 06C8
FBDD ; 06C7 0674
FBDE ; 06CB
FBDF ; 06CB
FBE0 ; 06C5
FBE1 ; 06C5
FBE2 ; 06C9
FBE3 ; 06C9
FBE4 ; 06D0
FBE5 ; 06D0
FBE6 ; 06D0
FBE7 ; 06D0
FBE8 ; 0649
FBE9 ; 0649
FBEA ; 0626 0627
FBEB ; 0626 0627
FBEC ; 0626 06D5
FBED ; 0626 06D5
FBEE ; 0626 0648
FBEF ; 0626 0648
FBF0 ; 0626 06C7
FBF1 ; 0626 06C7
FBF2 ; 0626 06C6
FBF3 ; 0626 06C6
FBF4 ; 0626 06C8
FBF5 ; 0626 06C8
FBF6 ; 0626 06D0
FBF7 ; 0626 06D0
FBF8 ; 0626 06D0
FBF9 ; 0626 0649
FBFA ; 0626 0649
FBFB ; 0626 0649
FBFC ; 06CC
FBFD ; 06CC
FBFE ; 06CC
FBFF ; 06CC
FC00 ; 0626 062C
FC01 ; 0626 062D
FC02 ; 0626 0645
FC03 ; 0626 0649
FC04 ; 0626 064A
FC05 ; 0628 062C
FC06 ; 0628 062D
FC07 ; 0628 062E
FC08 ; 0628 0645
FC09 ; 0628 0649
FC0A ; 0628 064A
FC0B ; 062A 062C
FC0C ; 062A 062D
FC0D ; 062A 062E
FC0E ; 062A 0645
FC0F ; 062A 0649
FC10 ; 062A 064A
FC11 ; 062B 062C
FC12 ; 062B 0645
FC13 ; 062B 0649
FC14 ; 062B 064A
FC15 ; 062C 062D
FC16 ; 062C 0645
FC17 ; 062D 062C
FC18 ; 062D 0645
FC19 ; 062E 062C
FC1A ; 062E 062D
FC1B ; 062E 0645
FC1C ; 0633 062C
FC1D ; 0633 062D
FC1E ; 0633 062E
FC1F ; 0633 0645
FC20 ; 0635 062D
FC21 ; 0635 0645
FC22 ; 0636 062C
FC23 ; 0636 062D
FC24 ; 0636 062E
FC25 ; 0636 0645
FC26 ; 0637 062D
FC27 ; 0637 0645
FC28 ; 0638 0645
FC29 ; 0639 062C
FC2A ; 0639 0645
FC2B ; 063A 062C
FC2C ; 063A 0645
FC2D ; 0641 062C
FC2E ; 0641 062D
FC2F ; 0641 062E
FC30 ; 0641 0645
FC31 ; 0641 0649
FC32 ; 0641 064A
FC33 ; 0642 062D
FC34 ; 0642 0645
FC35 ; 0642 0649
FC36 ; 0642 064A
FC37 ; 0643 0627
FC38 ; 0643 062C
FC39 ; 0643 062D
FC3A ; 0643 062E
FC3B ; 0643 0644
FC3C ; 0643 0645
FC3D ; 0643 0649
FC3E ; 0643 064A
FC3F ; 0644 062C
FC40 ; 0644 062D
FC41 ; 0644 062E
FC42 ; 0644 0645
FC43 ; 0644 0649
FC44 ; 0644 064A
FC45 ; 0645 062C
FC46 ; 0645 062D
FC47 ; 0645 062E
FC48 ; 0645 0645
FC49 ; 0645 0649
FC4A ; 0645 064A
FC4B ; 0646 062C
FC4C ; 0646 062D
FC4D ; 0646 062E
FC4E ; 0646 0645
FC4F ; 0646 0649
FC50 ; 0646 064A
FC51 ; 0647 062C
FC52 ; 0647 0645
FC53 ; 0647 0649
FC54 ; 0647 064A
FC55 ; 064A 062C
FC56 ; 064A 062D
FC57 ; 064A 062E
FC58 ; 064A 0645
FC59 ; 064A 0649
FC5A ; 064A 064A
FC5B ; 0630 0670
FC5C ; 0631 0670
FC5D ; 0649 0670
FC5E ; 064C 0651
FC5F ; 064D 0651
FC60 ; 064E 0651
FC61 ; 064F 0651
FC62 ; 0650 0651
FC63 ; 0651 0670
FC64 ; 0626 0631
FC65 ; 0626 0632
FC66 ; 0626 0645
FC67 ; 0626 0646
FC68 ; 0626 0649
FC69 ; 0626 064A
FC6A ; 0628 0631
FC6B ; 0628 0632
FC6C ; 0628 0645
FC6D ; 0628 0646
FC6E ; 0628 0649
FC6F ; 0628 064A
FC70 ; 062A 0631
FC71 ; 062A 0632
FC72 ; 062A 0645
FC73 ; 062A 0646
FC74 ; 062A 0649
FC75 ; 062A 064A
FC76 ; 062B 0631
FC77 ; 062B 0632
FC78 ; 062B 0645
FC79 ; 062B 0646
FC7A ; 062B 0649
FC7B ; 062B 064A
FC7C ; 0641 0649
FC7D ; 0641 064A
FC7E ; 0642 0649
FC7F ; 0642 064A
FC80 ; 0643 0627
FC81 ; 0643 0644
FC82 ; 0643 0645
FC83 ; 0643 0649
FC84 ; 0643 064A
FC85 ; 0644 0645
FC86 ; 0644 0649
FC87 ; 0644 064A
FC88 ; 0645 0627
FC89 ; 0645 0645
FC8A ; 0646 0631
FC8B ; 0646 0632
FC8C ; 0646 0645
FC8D ; 0646 0646
FC8E ; 0646 0649
FC8F ; 0646 064A
FC90 ; 0649 0670
FC91 ; 064A 0631
FC92 ; 064A 0632
FC93 ; 064A 0645
FC94 ; 064A 0646
FC95 ; 064A 0649
FC96 ; 064A 064A
FC97 ; 0626 062C
FC98 ; 0626 062D
FC99 ; 0626 062E
FC9A ; 0626 0645
FC9B ; 0626 0647
FC9C ; 0628 062C
FC9D ; 0628 062D
FC9E ; 0628 062E
FC9F ; 0628 0645
FCA0 ; 0628 0647
FCA1 ; 062A 062C
FCA2 ; 062A 062D
FCA3 ; 062A 062E
FCA4 ; 062A 0645
FCA5 ; 062A 0647
FCA6 ; 062B 0645
FCA7 ; 062C 062D
FCA8 ; 062C 0645
FCA9 ; 062D 062C
FCAA ; 062D 0645
FCAB ; 062E 062C
FCAC ; 062E 0645
FCAD ; 0633 062C
FCAE ; 0633 062D
FCAF ; 0633 062E
FCB0 ; 0633 0645
FCB1 ; 0635 062D
FCB2 ; 0635 062E
FCB3 ; 0635 0645
FCB4 ; 0636 062C
FCB5 ; 0636 062D
FCB6 ; 0636 062E
FCB7 ; 0636 0645
FCB8 ; 0637 062D
FCB9 ; 0638 0645
FCBA ; 0639 062C
FCBB ; 0639 0645
FCBC ; 063A 062C
FCBD ; 063A 0645
FCBE ; 0641 062C
FCBF ; 0641 062D
FCC0 ; 0641 062E
FCC1 ; 0641 0645
FCC2 ; 0642 062D
FCC3 ; 0642 0645
FCC4 ; 0643 062C
FCC5 ; 0643 062D
FCC6 ; 0643 062E
FCC7 ; 0643 0644
FCC8 ; 0643 0645
FCC9 ; 0644 062C
FCCA ; 0644 062D
FCCB ; 0644 062E
FCCC ; 0644 0645
FCCD ; 0644 0647
FCCE ; 0645 062C
FCCF ; 0645 062D
FCD0 ; 0645 062E
FCD1 ; 0645 0645
FCD2 ; 0646 062C
FCD3 ; 0646 062D
FCD4 ; 0646 062E
FCD5 ; 0646 0645
FCD6 ; 0646 0647
FCD7 ; 0647 062C
FCD8 ; 0647 0645
FCD9 ; 0647 0670
FCDA ; 064A 062C
FCDB ; 064A 062D
FCDC ; 064A 062E
FCDD ; 064A 0645
FCDE ; 064A 0647
FCDF ; 0626 0645
FCE0 ; 0626 0647
FCE1 ; 0628 0645
FCE2 ; 0628 0647
FCE3 ; 062A 0645
FCE4 ; 062A 0647
FCE5 ; 062B 0645
FCE6 ; 062B 0647
FCE7 ; 0633 0645
FCE8 ; 0633 0647
FCE9 ; 0634 0645
FCEA ; 0634 0647
FCEB ; 0643 0644
FCEC ; 0643 0645
FCED ; 0644 0645
FCEE ; 0646 0645
FCEF ; 0646 0647
FCF0 ; 064A 0645
FCF1 ; 064A 0647
FCF2 ; 064E 0651
FCF3 ; 064F 0651
FCF4 ; 0650 0651
FCF5 ; 0637 0649
FCF6 ; 0637 064A
FCF7 ; 0639 0649
FCF8 ; 0639 064A
FCF9 ; 063A 0649
FCFA ; 063A 064A
FCFB ; 0633 0649
FCFC ; 0633 064A
FCFD ; 0634 0649
FCFE ; 0634 064A
FCFF ; 062D 0649
FD00 ; 062D 064A
FD01 ; 062C 0649
FD02 ; 062C 064A
FD03 ; 062E 0649
FD04 ; 062E 064A
FD05 ; 0635 0649
FD06 ; 0635 064A
FD07 ; 0636 0649
FD08 ; 0636 064A
FD09 ; 0634 062C
FD0A ; 0634 062D
FD0B ; 0634 062E
FD0C ; 0634 0645
FD0D ; 0634 0631
FD0E ; 0633 0631
FD0F ; 0635 0631
FD10 ; 0636 0631
FD11 ; 0637 0649
FD12 ; 0637 064A
FD13 ; 0639 0649
FD14 ; 0639 064A
FD15 ; 063A 0649
FD16 ; 063A 064A
FD17 ; 0633 0649
FD18 ; 0633 064A
FD19 ; 0634 0649
FD1A ; 0634 064A
FD1B ; 062D 0649
FD1C ; 062D 064A
FD1D ; 062C 0649
FD1E ; 062C 064A
FD1F ; 062E 0649
FD20 ; 062E 064A
FD21 ; 0635 0649
FD22 ; 0635 064A
FD23 ; 0636 0649
FD24 ; 0636 064A
FD25 ; 0634 062C
FD26 ; 0634 062D
FD27 ; 0634 062E
FD28 ; 0634 0645
FD29 ; 0634 0631
FD2A ; 0633 0631
FD2B ; 0635 0631
FD2C ; 0636 0631
FD2D ; 0634 062C
FD2E ; 0634 062D
FD2F ; 0634 062E
FD30 ; 0634 0645
FD31 ; 0633 0647
FD32 ; 0634 0647
FD33 ; 0637 0645
FD34 ; 0633 062C
FD35 ; 0633 062D
FD36 ; 0633 062E
FD37 ; 0634 062C
FD38 ; 0634 062D
FD39 ; 0634 062E
FD3A ; 0637 0645
FD3B ; 0638 0645
FD3C ; 0627 064B
FD3D ; 0627 064B
FD50 ; 062A 062C 0645
FD51 ; 062A 062D 062C
FD52 ; 062A 062D 062C
FD53 ; 062A 062D 0645
FD54 ; 062A 062E 0645
FD55 ; 062A 0645 062C
FD56 ; 062A 0645 062D
FD57 ; 062A 0645 062E
FD58 ; 062C 0645 062D
FD59 ; 062C 0645 062D
FD5A ; 062D 0645 064A
FD5B ; 062D 0645 0649
FD5C ; 0633 062D 062C
FD5D ; 0633 062C 062D
FD5E ; 0633 062C 0649
FD5F ; 0633 0645 062D
FD60 ; 0633 0645 062D
FD61 ; 0633 0645 062C
FD62 ; 0633 0645 0645
FD63 ; 0633 0645 0645
FD64 ; 0635 062D 062D
FD65 ; 0635 062D 062D
FD66 ; 0635 0645 0645
FD67 ; 0634 062D 0645
FD68 ; 0634 062D 0645
FD69 ; 0634 062C 064A
FD6A ; 0634 0645 062E
FD6B ; 0634 0645 062E
FD6C ; 0634 0645 0645
FD6D ; 0634 0645 0645
FD6E ; 0636 062D 0649
FD6F ; 0636 062E 0645
FD70 ; 0636 062E 0645
FD71 ; 0637 0645 062D
FD72 ; 0637 0645 062D
FD73 ; 0637 0645 0645
FD74 ; 0637 0645 064A
FD75 ; 0639 062C 0645
FD76 ; 0639 0645 0645
FD77 ; 0639 0645 0645
FD78 ; 0639 0645 0649
FD79 ; 063A 0645 0645
FD7A ; 063A 0645 064A
FD7B ; 063A 0645 0649
FD7C ; 0641 062E 0645
FD7D ; 0641 062E 0645
FD7E ; 0642 0645 062D
FD7F ; 0642 0645 0645
FD80 ; 0644 062D 0645
FD81 ; 0644 062D 064A
FD82 ; 0644 062D 0649
FD83 ; 0644 062C 062C
FD84 ; 0644 062C 062C
FD85 ; 0644 062E 0645
FD86 ; 0644 062E 0645
FD87 ; 0644 0645 062D
FD88 ; 0644 0645 062D
FD89 ; 0645 062D 062C
FD8A ; 0645 062D 0645
FD8B ; 0645 062D 064A
FD8C ; 0645 062C 062D
FD8D ; 0645 062C 0645
FD8E ; 0645 062E 062C
FD8F ; 0645 062E 0645
FD92 ; 0645 062C 062E
FD93 ; 0647 0645 062C
FD94 ; 0647 0645 0645
FD95 ; 0646 062D 0645
FD96 ; 0646 062D 0649
FD97 ; 0646 062C 0645
FD98 ; 0646 062C 0645
FD99 ; 0646 062C 0649
FD9A ; 0646 0645 064A
FD9B ; 0646 0645 0649
FD9C ; 064A 0645 0645
FD9D ; 064A 0645 0645
FD9E ; 0628 062E 064A
FD9F ; 062A 062C 064A
FDA0 ; 062A 062C 0649
FDA1 ; 062A 062E 064A
FDA2 ; 062A 062E 0649
FDA3 ; 062A 0645 064A
FDA4 ; 062A 0645 0649
FDA5 ; 062C 0645 064A
FDA6 ; 062C 062D 0649
FDA7 ; 062C 0645 0649
FDA8 ; 0633 062E 0649
FDA9 ; 0635 062D 064A
FDAA ; 0634 062D 064A
FDAB ; 0636 062D 064A
FDAC ; 0644 062C 064A
FDAD ; 0644 0645 064A
FDAE ; 064A 062D 064A
FDAF ; 064A 062C 064A
FDB0 ; 064A 0645 064A
FDB1 ; 0645 0645 064A
FDB2 ; 0642 0645 064A
FDB3 ; 0646 062D 064A
FDB4 ; 0642 0645 062D
FDB5 ; 0644 062D 0645
FDB6 ; 0639 0645 064A
FDB7 ; 0643 0645 064A
FDB8 ; 0646 062C 062D
FDB9 ; 0645 062E 064A
FDBA ; 0644 062C 0645
FDBB ; 0643 0645 0645
FDBC ; 0644 062C 0645
FDBD ; 0646 062C 062D
FDBE ; 062C 062D 064A
FDBF ; 062D 062C 064A
FDC0 ; 0645 062C 064A
FDC1 ; 0641 0645 064A
FDC2 ; 0628 062D 064A
FDC3 ; 0643 0645 0645
FDC4 ; 0639 062C 0645
FDC5 ; 0635 0645 0645
FDC6 ; 0633 062E 064A
FDC7 ; 0646 062C 064A
FDF0 ; 0635 0644 06D2
FDF1 ; 0642 0644 06D2
FDF2 ; 0627 0644 0644 0647
FDF3 ; 0627 0643 0628 0631
FDF4 ; 0645 062D 0645 062F
FDF5 ; 0635 0644 0639 0645
FDF6 ; 0631 0633 0648 0644
FDF7 ; 0639 0644 064A 0647
FDF8 ; 0648 0633 0644 0645
FDF9 ; 0635 0644 0649
FE00 ;
FE01 ;
FE02 ;
FE03 ;
FE04 ;
FE05 ;
FE06 ;
FE07 ;
FE08 ;
FE09 ;
FE0A ;
FE0B ;
FE0C ;
FE0D ;
FE0E ;
FE0F ;
FE70 ; 064B
FE71 ; 064B
FE72 ; 064C
FE73 ;
FE74 ; 064D
FE76 ; 064E
FE77 ; 064E
FE78 ; 064F
FE79 ; 064F
FE7A ; 0650
FE7B ; 0650
FE7C ; 0651
FE7D ; 0651
FE7E ; 0652
FE7F ; 0652
FE80 ; 0621
FE81 ; 0622
FE82 ; 0622
FE83 ; 0623
FE84 ; 0623
FE85 ; 0624
FE86 ; 0624
FE87 ; 0625
FE88 ; 0625
FE89 ; 0626
FE8A ; 0626
FE8B ; 0626
FE8C ; 0626
FE8D ; 0627
FE8E ; 0627
FE8F ; 0628
FE90 ; 0628
FE91 ; 0628
FE92 ; 0628
FE93 ; 0629
FE94 ; 0629
FE95 ; 062A
FE96 ; 062A
FE97 ; 062A
FE98 ; 062A
FE99 ; 062B
FE9A ; 062B
FE9B ; 062B
FE9C ; 062B
FE9D ; 062C
FE9E ; 062C
FE9F ; 062C
FEA0 ; 062C
FEA1 ; 062D
FEA2 ; 062D
FEA3 ; 062D
FEA4 ; 062D
FEA5 ; 062E
FEA6 ; 062E
FEA7 ; 062E
FEA8 ; 062E
FEA9 ; 062F
FEAA ; 062F
FEAB ; 0630
FEAC ; 0630
FEAD ; 0631
FEAE ; 0631
FEAF ; 0632
FEB0 ; 0632
FEB1 ; 0633
FEB2 ; 0633
FEB3 ; 0633
FEB4 ; 0633
FEB5 ; 0634
FEB6 ; 0634
FEB7 ; 0634
FEB8 ; 0634
FEB9 ; 0635
FEBA ; 0635
FEBB ; 0635
FEBC ; 0635
FEBD ; 0636
FEBE ; 0636
FEBF ; 0636
FEC0 ; 0636
FEC1 ; 0637
FEC2 ; 0637
FEC3 ; 0637
FEC4 ; 0637
FEC5 ; 0638
FEC6 ; 0638
FEC7 ; 0638
FEC8 ; 0638
FEC9 ; 0639
FECA ; 0639
FECB ; 0639
FECC ; 0639
FECD ; 063A
FECE ; 063A
FECF ; 063A
FED0 ; 063A
FED1 ; 0641
FED2 ; 0641
FED3 ; 0641
FED4 ; 0641
FED5 ; 0642
FED6 ; 0642
FED7 ; 0642
FED8 ; 0642
FED9 ; 0643
FEDA ; 0643
FEDB ; 0643
FEDC ; 0643
FEDD ; 0644
FEDE ; 0644
FEDF ; 0644
FEE0 ; 0644
FEE1 ; 0645
FEE2 ; 0645
FEE3 ; 0645
FEE4 ; 0645
FEE5 ; 0646
FEE6 ; 0646
FEE7 ; 0646
FEE8 ; 0646
FEE9 ; 0647
FEEA ; 0647
FEEB ; 0647
FEEC ; 0647
FEED ; 0648
FEEE ; 0648
FEEF ; 0649
FEF0 ; 0649
FEF1 ; 064A
FEF2 ; 064A
FEF3 ; 064A
FEF4 ; 064A
FEF5 ; 0644 0622
FEF6 ; 0644 0622
FEF7 ; 0644 0623
FEF8 ; 0644 0623
FEF9 ; 0644 0625
FEFA ; 0644 0625
FEFB ; 0644 0627
FEFC ; 0644 0627
FF01 ; 0021
FF02 ; 0022
FF03 ; 0023
FF04 ; 0024
FF05 ; 0025
FF06 ; 0026
FF07 ; 0027
FF08 ; 0028
FF09 ; 0029
FF0A ; 002A
FF0B ; 002B
FF0C ; 002C
FF0D ; 002D
FF0E ; 002E
FF0F ; 002F
FF10 ; 0030
FF11 ; 0031
FF12 ; 0032
FF13 ; 0033
FF14 ; 0034
FF15 ; 0035
FF16 ; 0036
FF17 ; 0037
FF18 ; 0038
FF19 ; 0039
FF1A ; 003A
FF1B ; 003B
FF1C ; 003C
FF1D ; 003D
FF1E ; 003E
FF1F ; 003F
FF20 ; 0040
FF21 ; 0061
FF22 ; 0062
FF23 ; 0063
FF24 ; 0064
FF25 ; 0065
FF26 ; 0066
FF27 ; 0067
FF28 ; 0068
FF29 ; 0069
FF2A ; 006A
FF2B ; 006B
FF2C ; 006C
FF2D ; 006D
FF2E ; 006E
FF2F ; 006F
FF30 ; 0070
FF31 ; 0071
FF32 ; 0072
FF33 ; 0073
FF34 ; 0074
FF35 ; 0075
