# TBD Fix header, reformat

# emoji-data.txt
# Date: 2016-11-14, 15:36:23 GMT
# © 2016 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html

# Emoji Data for UTR #51
# Version: 4.0

# For documentation and usage, see http://www.unicode.org/reports/tr51

# Warning: the format has changed from Version 1.0
# Format: 
# codepoint(s) ; property(=Yes) # comments 

# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# Emoji variation sequences for use as part of keycap symbols

0023 FE0E; text style;  # NUMBER SIGN
1F6E1 FE0F; emoji style; # SHIELD
1F6E2 FE0E; text style;  # OIL DRUM
1F6E2 FE0F; emoji style; # OIL DRUM
1F6E3 FE0E; text style;  # MOTORWAY
1F6E3 FE0F; emoji style; # MOTORWAY
1F6E4 FE0E; text style;  # RAILWAY TRACK
1F6E4 FE0F; emoji style; # RAILWAY TRACK
1F6E5 FE0E; text style;  # MOTOR BOAT
1F6E5 FE0F; emoji style; # MOTOR BOAT
1F6E9 FE0E; text style;  # SMALL AIRPLANE
1F6E9 FE0F; emoji style; # SMALL AIRPLANE
1F6F0 FE0E; text style;  # SATELLITE
1F6F0 FE0F; emoji style; # SATELLITE
1F6F3 FE0E; text style;  # PASSENGER SHIP
1F6F3 FE0F; emoji style; # PASSENGER SHIP

# ================================================

2640 FE0E; text style; # FEMALE SIGN
2640 FE0F; emoji style; # FEMALE SIGN
2642 FE0E; text style; # MALE SIGN
2642 FE0F; emoji style; # MALE SIGN
2695 FE0E; text style; # STAFF OF AESCULAPIUS
2695 FE0F; emoji style; # STAFF OF AESCULAPIUS

23E9 FE0E; text style; # BLACK RIGHT-POINTING DOUBLE TRIANGLE
23E9 FE0F; emoji style; # BLACK RIGHT-POINTING DOUBLE TRIANGLE
23EA FE0E; text style; # BLACK LEFT-POINTING DOUBLE TRIANGLE
23EA FE0F; emoji style; # BLACK LEFT-POINTING DOUBLE TRIANGLE
23F3 FE0E; text style; # HOURGLASS WITH FLOWING SAND
23F3 FE0F; emoji style; # HOURGLASS WITH FLOWING SAND
2640 FE0E; text style; # FEMALE SIGN
2640 FE0F; emoji style; # FEMALE SIGN
2642 FE0E; text style; # MALE SIGN
2642 FE0F; emoji style; # MALE SIGN
2695 FE0E; text style; # STAFF OF AESCULAPIUS
2695 FE0F; emoji style; # STAFF OF AESCULAPIUS

2753 FE0E; text style;

2753 FE0F; emoji style;

1F30D FE0E; text style;

1F30D FE0F; emoji style

1F30E FE0E; text style;

1F30E FE0F; emoji style

1F30F FE0E; text style;

1F30F FE0F; emoji style

1F315 FE0E; text style;

1F315 FE0F; emoji style

1F31C FE0E; text style;

1F31C FE0F; emoji style

1F378 FE0E; text style;

1F378 FE0F; emoji style

1F393 FE0E; text style;

1F393 FE0F; emoji style

1F3A7 FE0E; text style;

1F3A7 FE0F; emoji style

1F3AC FE0E; text style;

1F3AC FE0F; emoji style

1F3AD FE0E; text style;

1F3AD FE0F; emoji style

1F3AE FE0E; text style;

1F3AE FE0F; emoji style

1F3C2 FE0E; text style;

1F3C2 FE0F; emoji style

1F3C4 FE0E; text style;

1F3C4 FE0F; emoji style

1F3C6 FE0E; text style;

1F3C6 FE0F; emoji style

1F3CA FE0E; text style;

1F3CA FE0F; emoji style

1F3E0 FE0E; text style;

1F3E0 FE0F; emoji style

1F3ED FE0E; text style;

1F3ED FE0F; emoji style

1F408 FE0E; text style;

1F408 FE0F; emoji style

1F415 FE0E; text style;

1F415 FE0F; emoji style

1F41F FE0E; text style;

1F41F FE0F; emoji style

1F426 FE0E; text style;

1F426 FE0F; emoji style; # BIRD
1F442 FE0E; text style; # EAR
1F442 FE0F; emoji style; # EAR
1F446 FE0E; text style; # WHITE UP POINTING BACKHAND INDEX
1F446 FE0F; emoji style; # WHITE UP POINTING BACKHAND INDEX
1F447 FE0E; text style; # WHITE DOWN POINTING BACKHAND INDEX
1F447 FE0F; emoji style; # WHITE DOWN POINTING BACKHAND INDEX
1F448 FE0E; text style; # WHITE LEFT POINTING BACKHAND INDEX
1F448 FE0F; emoji style; # WHITE LEFT POINTING BACKHAND INDEX
1F449 FE0E; text style; # WHITE RIGHT POINTING BACKHAND INDEX
1F449 FE0F; emoji style; # WHITE RIGHT POINTING BACKHAND INDEX
1F44D FE0E; text style; # THUMBS UP SIGN
1F44D FE0F; emoji style; # THUMBS UP SIGN
1F44E FE0E; text style; # THUMBS DOWN SIGN
1F44E FE0F; emoji style; # THUMBS DOWN SIGN
1F453 FE0E; text style; # EYEGLASSES
1F453 FE0F; emoji style; # EYEGLASSES
1F46A FE0E; text style; # FAMILY
1F46A FE0F; emoji style; # FAMILY
1F47D FE0E; text style; # EXTRATERRESTRIAL ALIEN
1F47D FE0F; emoji style; # EXTRATERRESTRIAL ALIEN
1F4A3 FE0E; text style; # BOMB
1F4A3 FE0F; emoji style; # BOMB
1F4B0 FE0E; text style; # MONEY BAG
1F4B0 FE0F; emoji style; # MONEY BAG
1F4B3 FE0E; text style; # CREDIT CARD
1F4B3 FE0F; emoji style; # CREDIT CARD
1F4BB FE0E; text style; # PERSONAL COMPUTER
1F4BB FE0F; emoji style; # PERSONAL COMPUTER
1F4BF FE0E; text style; # OPTICAL DISC
1F4BF FE0F; emoji style; # OPTICAL DISC
1F4CB FE0E; text style; # CLIPBOARD
1F4CB FE0F; emoji style; # CLIPBOARD
1F4DA FE0E; text style; # BOOKS
1F4DA FE0F; emoji style; # BOOKS
1F4DF FE0E; text style; # PAGER
1F4DF FE0F; emoji style; # PAGER
1F4E4 FE0E; text style; # OUTBOX TRAY
1F4E4 FE0F; emoji style; # OUTBOX TRAY
1F4E5 FE0E; text style; # INBOX TRAY
1F4E5 FE0F; emoji style; # INBOX TRAY
1F4E6 FE0E; text style; # PACKAGE
1F4E6 FE0F; emoji style; # PACKAGE

1F4EA FE0E; text style;

1F4EA FE0F; emoji style

1F4EB FE0E; text style;

1F4EB FE0F; emoji style

1F4EC FE0E; text style;

1F4EC FE0F; emoji style

1F4ED FE0E; text style;

1F4ED FE0F; emoji style

1F4F7 FE0E; text style;

1F4F7 FE0F; emoji style

1F4F9 FE0E; text style;

1F4F9 FE0F; emoji style

1F4FA FE0E; text style;

1F4FA FE0F; emoji style

1F4FB FE0E; text style;

1F4FB FE0F; emoji style

1F508 FE0E; text style;

1F508 FE0F; emoji style

1F50D FE0E; text style;

1F50D FE0F; emoji style

1F512 FE0E; text style;

1F512 FE0F; emoji style

1F513 FE0E; text style;

1F513 FE0F; emoji style

1F550 FE0E; text style;

1F550 FE0F; emoji style

1F551 FE0E; text style;

1F551 FE0F; emoji style

1F552 FE0E; text style;

1F552 FE0F; emoji style

1F553 FE0E; text style;

1F553 FE0F; emoji style

1F554 FE0E; text style;

1F554 FE0F; emoji style

1F555 FE0E; text style;

1F555 FE0F; emoji style

1F556 FE0E; text style;

1F556 FE0F; emoji style

1F557 FE0E; text style;

1F557 FE0F; emoji style

1F558 FE0E; text style;

1F558 FE0F; emoji style

1F559 FE0E; text style;

1F559 FE0F; emoji style

1F55A FE0E; text style;

1F55A FE0F; emoji style

1F55B FE0E; text style;

1F55B FE0F; emoji style

1F55C FE0E; text style;

1F55C FE0F; emoji style

1F55D FE0E; text style;

1F55D FE0F; emoji style

1F55E FE0E; text style;

1F55E FE0F; emoji style

1F55F FE0E; text style;

1F55F FE0F; emoji style

1F560 FE0E; text style;

1F560 FE0F; emoji style

1F561 FE0E; text style;

1F561 FE0F; emoji style

1F562 FE0E; text style;

1F562 FE0F; emoji style

1F563 FE0E; text style;

1F563 FE0F; emoji style

1F564 FE0E; text style;

1F564 FE0F; emoji style

1F565 FE0E; text style;

1F565 FE0F; emoji style

1F566 FE0E; text style;

1F566 FE0F; emoji style

1F567 FE0E; text style;

1F567 FE0F; emoji style

1F610 FE0E; text style;

1F610 FE0F; emoji style

1F687 FE0E; text style;

1F687 FE0F; emoji style

1F68D FE0E; text style;

1F68D FE0F; emoji style

1F691 FE0E; text style;

1F691 FE0F; emoji style

1F694 FE0E; text style;

1F694 FE0F; emoji style

1F698 FE0E; text style;

1F698 FE0F; emoji style

1F6AD FE0E; text style;

1F6AD FE0F; emoji style

1F6B2 FE0E; text style; # BICYCLE
1F6B2 FE0F; emoji style; # BICYCLE
1F6B9 FE0E; text style; # MENS SYMBOL
1F6B9 FE0F; emoji style; # MENS SYMBOL
1F6BA FE0E; text style; # WOMENS SYMBOL
1F6BA FE0F; emoji style; # WOMENS SYMBOL
1F6BC FE0E; text style; # BABY SYMBOL
1F6BC FE0F; emoji style; # BABY SYMBOL
