# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:09 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0000..0008    ; restricted ; default-ignorable                                        #  [9] (U+0000..U+0008)  <control-0000>..<control-0008>
2729..274B    ; restricted ; not in XID+                                              # [35] (✩..❋)  STRESS OUTLINED WHITE STAR..HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274D          ; restricted ; not in XID+                                              #      (❍)  SHADOWED WHITE CIRCLE
274F..2752    ; restricted ; not in XID+                                              #  [4] (❏..❒)  LOWER RIGHT DROP-SHADOWED WHITE SQUARE..UPPER RIGHT SHADOWED WHITE SQUARE
2756          ; restricted ; not in XID+                                              #      (❖)  BLACK DIAMOND MINUS WHITE X
2758..275E    ; restricted ; not in XID+                                              #  [7] (❘..❞)  LIGHT VERTICAL BAR..HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
2761..2794    ; restricted ; not in XID+                                              # [52] (❡..➔)  CURVED STEM PARAGRAPH SIGN ORNAMENT..HEAVY WIDE-HEADED RIGHTWARDS ARROW
2798..27AF    ; restricted ; not in XID+                                              # [24] (➘..➯)  HEAVY SOUTH EAST ARROW..NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1..27BE    ; restricted ; not in XID+                                              # [14] (➱..➾)  NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW..OPEN-OUTLINED RIGHTWARDS ARROW
27D0..27EB    ; restricted ; not in XID+                                              # [28] (⟐..⟫)  WHITE DIAMOND WITH CENTRED DOT..MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27F0..2A0B    ; restricted ; not in XID+                                              # [540] (⟰..⨋)  UPWARDS QUADRUPLE ARROW..SUMMATION WITH INTEGRAL
2A0D..2A73    ; restricted ; not in XID+                                              # [103] (⨍..⩳)  FINITE PART INTEGRAL..EQUALS SIGN ABOVE TILDE OPERATOR
2A77..2ADB    ; restricted ; not in XID+                                              # [101] (⩷..⫛)  EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW..TRANSVERSAL INTERSECTION
2ADD..2AFF    ; restricted ; not in XID+                                              # [35] (⫝..⫿)  NONFORKING..N-ARY WHITE VERTICAL BAR
2C00..2C2E    ; restricted ; archaic script                                           # [47] (Ⰰ..Ⱞ)  GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C30..2C5E    ; restricted ; archaic script                                           # [47] (ⰰ..ⱞ)  GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C80..2CEA    ; restricted ; liturgical script                                        # [107] (Ⲁ..⳪)  COPTIC CAPITAL LETTER ALFA..COPTIC SYMBOL SHIMA SIMA
2CF9..2CFF    ; restricted ; liturgical script                                        #  [7] (⳹..⳿)  COPTIC OLD NUBIAN FULL STOP..COPTIC MORPHOLOGICAL DIVIDER
2E00..2E0D    ; restricted ; technical (Editorial Marks for Biblical Text Annotation) # [14] (⸀..⸍)  RIGHT ANGLE SUBSTITUTION MARKER..RIGHT RAISED OMISSION BRACKET
2E80..2E99    ; restricted ; not in XID+                                              # [26] (⺀..⺙)  CJK RADICAL REPEAT..CJK RADICAL RAP
2E9B..2E9E    ; restricted ; not in XID+                                              #  [4] (⺛..⺞)  CJK RADICAL CHOKE..CJK RADICAL DEATH
2EA0..2EF2    ; restricted ; not in XID+                                              # [83] (⺠..⻲)  CJK RADICAL CIVILIAN..CJK RADICAL J-SIMPLIFIED TURTLE
3001..3004    ; restricted ; not in XID+                                              #  [4] (、..〄)  IDEOGRAPHIC COMMA..JAPANESE INDUSTRIAL STANDARD SYMBOL
3008..3020    ; restricted ; not in XID+                                              # [25] (〈..〠)  LEFT ANGLE BRACKET..POSTAL MARK FACE
3021..302F    ; restricted ; technical                                                # [15] (〡..〯)  HANGZHOU NUMERAL ONE..HANGUL DOUBLE DOT TONE MARK
3030          ; restricted ; not in XID+                                              #      (〰)  WAVY DASH
3031..3035    ; restricted ; presentation form                                        #  [5] (〱..〵)  VERTICAL KANA REPEAT MARK..VERTICAL KANA REPEAT MARK LOWER HALF
3037          ; restricted ; not in XID+                                              #      (〷)  IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL
303B..303C    ; restricted ; presentation form                                        #  [2] (〻..〼)  VERTICAL IDEOGRAPHIC ITERATION MARK..MASU MARK
303D..303F    ; restricted ; not in XID+                                              #  [3] (〽..〿)  PART ALTERNATION MARK..IDEOGRAPHIC HALF FILL SPACE
30A0          ; restricted ; not in XID+                                              #      (゠)  KATAKANA-HIRAGANA DOUBLE HYPHEN
3164          ; restricted ; default-ignorable                                        #      (U+3164)  HANGUL FILLER
3165..318E    ; restricted ; archaic                                                  # [42] (ㅥ..ㆎ)  HANGUL LETTER SSANGNIEUN..HANGUL LETTER ARAEAE
3190..3191    ; restricted ; not in XID+                                              #  [2] (㆐..㆑)  IDEOGRAPHIC ANNOTATION LINKING MARK..IDEOGRAPHIC ANNOTATION REVERSE MARK
3251..327E    ; restricted ; presentation form                                        # [46] (㉑..㉾)  CIRCLED NUMBER TWENTY ONE..CIRCLED HANGUL IEUNG U
327F          ; restricted ; not in XID+                                              #      (㉿)  KOREAN STANDARD SYMBOL
3280..32FE    ; restricted ; presentation form                                        # [127] (㊀..㋾)  CIRCLED IDEOGRAPH ONE..CIRCLED KATAKANA WO
32FF          ; restricted ; presentation form                                        #      (U+32FF)  <reserved-32FF>
3300..33FF    ; restricted ; presentation form                                        # [256] (㌀..㏿)  SQUARE APAATO..SQUARE GAL
3400..3446    ; restricted ; ~IICore                                                  # [71] (㐀..㑆)  CJK UNIFIED IDEOGRAPH-3400..CJK UNIFIED IDEOGRAPH-3446
3448..3472    ; restricted ; ~IICore                                                  # [43] (㑈..㑲)  CJK UNIFIED IDEOGRAPH-3448..CJK UNIFIED IDEOGRAPH-3472
3474..34E3    ; restricted ; ~IICore                                                  # [112] (㑴..㓣)  CJK UNIFIED IDEOGRAPH-3474..CJK UNIFIED IDEOGRAPH-34E3
34E5..3576    ; restricted ; ~IICore                                                  # [146] (㓥..㕶)  CJK UNIFIED IDEOGRAPH-34E5..CJK UNIFIED IDEOGRAPH-3576
3578..359D    ; restricted ; ~IICore                                                  # [38] (㕸..㖝)  CJK UNIFIED IDEOGRAPH-3578..CJK UNIFIED IDEOGRAPH-359D
359F..35A0    ; restricted ; ~IICore                                                  #  [2] (㖟..㖠)  CJK UNIFIED IDEOGRAPH-359F..CJK UNIFIED IDEOGRAPH-35A0
35A2..35AC    ; restricted ; ~IICore                                                  # [11] (㖢..㖬)  CJK UNIFIED IDEOGRAPH-35A2..CJK UNIFIED IDEOGRAPH-35AC
35AE..35BE    ; restricted ; ~IICore                                                  # [17] (㖮..㖾)  CJK UNIFIED IDEOGRAPH-35AE..CJK UNIFIED IDEOGRAPH-35BE
35C0..35CD    ; restricted ; ~IICore                                                  # [14] (㗀..㗍)  CJK UNIFIED IDEOGRAPH-35C0..CJK UNIFIED IDEOGRAPH-35CD
35CF..35F2    ; restricted ; ~IICore                                                  # [36] (㗏..㗲)  CJK UNIFIED IDEOGRAPH-35CF..CJK UNIFIED IDEOGRAPH-35F2
35F4..35FD    ; restricted ; ~IICore                                                  # [10] (㗴..㗽)  CJK UNIFIED IDEOGRAPH-35F4..CJK UNIFIED IDEOGRAPH-35FD
35FF..360D    ; restricted ; ~IICore                                                  # [15] (㗿..㘍)  CJK UNIFIED IDEOGRAPH-35FF..CJK UNIFIED IDEOGRAPH-360D
360F..3619    ; restricted ; ~IICore                                                  # [11] (㘏..㘙)  CJK UNIFIED IDEOGRAPH-360F..CJK UNIFIED IDEOGRAPH-3619
361B..3917    ; restricted ; ~IICore                                                  # [765] (㘛..㤗)  CJK UNIFIED IDEOGRAPH-361B..CJK UNIFIED IDEOGRAPH-3917
3919..395F    ; restricted ; ~IICore                                                  # [71] (㤙..㥟)  CJK UNIFIED IDEOGRAPH-3919..CJK UNIFIED IDEOGRAPH-395F
3961..396D    ; restricted ; ~IICore                                                  # [13] (㥡..㥭)  CJK UNIFIED IDEOGRAPH-3961..CJK UNIFIED IDEOGRAPH-396D
396F..39CE    ; restricted ; ~IICore                                                  # [96] (㥯..㧎)  CJK UNIFIED IDEOGRAPH-396F..CJK UNIFIED IDEOGRAPH-39CE
39D1..39DE    ; restricted ; ~IICore                                                  # [14] (㧑..㧞)  CJK UNIFIED IDEOGRAPH-39D1..CJK UNIFIED IDEOGRAPH-39DE
39E0..39F7    ; restricted ; ~IICore                                                  # [24] (㧠..㧷)  CJK UNIFIED IDEOGRAPH-39E0..CJK UNIFIED IDEOGRAPH-39F7
39F9..39FD    ; restricted ; ~IICore                                                  #  [5] (㧹..㧽)  CJK UNIFIED IDEOGRAPH-39F9..CJK UNIFIED IDEOGRAPH-39FD
39FF..3A17    ; restricted ; ~IICore                                                  # [25] (㧿..㨗)  CJK UNIFIED IDEOGRAPH-39FF..CJK UNIFIED IDEOGRAPH-3A17
3A19..3A51    ; restricted ; ~IICore                                                  # [57] (㨙..㩑)  CJK UNIFIED IDEOGRAPH-3A19..CJK UNIFIED IDEOGRAPH-3A51
3A53..3A66    ; restricted ; ~IICore                                                  # [20] (㩓..㩦)  CJK UNIFIED IDEOGRAPH-3A53..CJK UNIFIED IDEOGRAPH-3A66
3A68..3A72    ; restricted ; ~IICore                                                  # [11] (㩨..㩲)  CJK UNIFIED IDEOGRAPH-3A68..CJK UNIFIED IDEOGRAPH-3A72
3A74..3B38    ; restricted ; ~IICore                                                  # [197] (㩴..㬸)  CJK UNIFIED IDEOGRAPH-3A74..CJK UNIFIED IDEOGRAPH-3B38
3B3A..3B4D    ; restricted ; ~IICore                                                  # [20] (㬺..㭍)  CJK UNIFIED IDEOGRAPH-3B3A..CJK UNIFIED IDEOGRAPH-3B4D
3B4F..3C6D    ; restricted ; ~IICore                                                  # [287] (㭏..㱭)  CJK UNIFIED IDEOGRAPH-3B4F..CJK UNIFIED IDEOGRAPH-3C6D
3C6F..3CDF    ; restricted ; ~IICore                                                  # [113] (㱯..㳟)  CJK UNIFIED IDEOGRAPH-3C6F..CJK UNIFIED IDEOGRAPH-3CDF
3CE1..3DE6    ; restricted ; ~IICore                                                  # [262] (㳡..㷦)  CJK UNIFIED IDEOGRAPH-3CE1..CJK UNIFIED IDEOGRAPH-3DE6
3DE8..3DEA    ; restricted ; ~IICore                                                  #  [3] (㷨..㷪)  CJK UNIFIED IDEOGRAPH-3DE8..CJK UNIFIED IDEOGRAPH-3DEA
3DEC..3E73    ; restricted ; ~IICore                                                  # [136] (㷬..㹳)  CJK UNIFIED IDEOGRAPH-3DEC..CJK UNIFIED IDEOGRAPH-3E73
3E75..3ECF    ; restricted ; ~IICore                                                  # [91] (㹵..㻏)  CJK UNIFIED IDEOGRAPH-3E75..CJK UNIFIED IDEOGRAPH-3ECF
3ED1..4055    ; restricted ; ~IICore                                                  # [389] (㻑..䁕)  CJK UNIFIED IDEOGRAPH-3ED1..CJK UNIFIED IDEOGRAPH-4055
4057..4064    ; restricted ; ~IICore                                                  # [14] (䁗..䁤)  CJK UNIFIED IDEOGRAPH-4057..CJK UNIFIED IDEOGRAPH-4064
4066..4069    ; restricted ; ~IICore                                                  #  [4] (䁦..䁩)  CJK UNIFIED IDEOGRAPH-4066..CJK UNIFIED IDEOGRAPH-4069
406B..40BA    ; restricted ; ~IICore                                                  # [80] (䁫..䂺)  CJK UNIFIED IDEOGRAPH-406B..CJK UNIFIED IDEOGRAPH-40BA
40BC..40DE    ; restricted ; ~IICore                                                  # [35] (䂼..䃞)  CJK UNIFIED IDEOGRAPH-40BC..CJK UNIFIED IDEOGRAPH-40DE
40E0..4136    ; restricted ; ~IICore                                                  # [87] (䃠..䄶)  CJK UNIFIED IDEOGRAPH-40E0..CJK UNIFIED IDEOGRAPH-4136
4138..415E    ; restricted ; ~IICore                                                  # [39] (䄸..䅞)  CJK UNIFIED IDEOGRAPH-4138..CJK UNIFIED IDEOGRAPH-415E
4160..4336    ; restricted ; ~IICore                                                  # [471] (䅠..䌶)  CJK UNIFIED IDEOGRAPH-4160..CJK UNIFIED IDEOGRAPH-4336
4338..43AB    ; restricted ; ~IICore                                                  # [116] (䌸..䎫)  CJK UNIFIED IDEOGRAPH-4338..CJK UNIFIED IDEOGRAPH-43AB
43AD..43B0    ; restricted ; ~IICore                                                  #  [4] (䎭..䎰)  CJK UNIFIED IDEOGRAPH-43AD..CJK UNIFIED IDEOGRAPH-43B0
43B2..43DC    ; restricted ; ~IICore                                                  # [43] (䎲..䏜)  CJK UNIFIED IDEOGRAPH-43B2..CJK UNIFIED IDEOGRAPH-43DC
43DE..44D5    ; restricted ; ~IICore                                                  # [248] (䏞..䓕)  CJK UNIFIED IDEOGRAPH-43DE..CJK UNIFIED IDEOGRAPH-44D5
44D7..44E9    ; restricted ; ~IICore                                                  # [19] (䓗..䓩)  CJK UNIFIED IDEOGRAPH-44D7..CJK UNIFIED IDEOGRAPH-44E9
44EB..4605    ; restricted ; ~IICore                                                  # [283] (䓫..䘅)  CJK UNIFIED IDEOGRAPH-44EB..CJK UNIFIED IDEOGRAPH-4605
4607..464B    ; restricted ; ~IICore                                                  # [69] (䘇..䙋)  CJK UNIFIED IDEOGRAPH-4607..CJK UNIFIED IDEOGRAPH-464B
464D..4660    ; restricted ; ~IICore                                                  # [20] (䙍..䙠)  CJK UNIFIED IDEOGRAPH-464D..CJK UNIFIED IDEOGRAPH-4660
4662..4722    ; restricted ; ~IICore                                                  # [193] (䙢..䜢)  CJK UNIFIED IDEOGRAPH-4662..CJK UNIFIED IDEOGRAPH-4722
4724..4728    ; restricted ; ~IICore                                                  #  [5] (䜤..䜨)  CJK UNIFIED IDEOGRAPH-4724..CJK UNIFIED IDEOGRAPH-4728
472A..477B    ; restricted ; ~IICore                                                  # [82] (䜪..䝻)  CJK UNIFIED IDEOGRAPH-472A..CJK UNIFIED IDEOGRAPH-477B
477D..478C    ; restricted ; ~IICore                                                  # [16] (䝽..䞌)  CJK UNIFIED IDEOGRAPH-477D..CJK UNIFIED IDEOGRAPH-478C
478E..47F3    ; restricted ; ~IICore                                                  # [102] (䞎..䟳)  CJK UNIFIED IDEOGRAPH-478E..CJK UNIFIED IDEOGRAPH-47F3
47F5..48B4    ; restricted ; ~IICore                                                  # [192] (䟵..䢴)  CJK UNIFIED IDEOGRAPH-47F5..CJK UNIFIED IDEOGRAPH-48B4
48B6..48BB    ; restricted ; ~IICore                                                  #  [6] (䢶..䢻)  CJK UNIFIED IDEOGRAPH-48B6..CJK UNIFIED IDEOGRAPH-48BB
48BD..48C4    ; restricted ; ~IICore                                                  #  [8] (䢽..䣄)  CJK UNIFIED IDEOGRAPH-48BD..CJK UNIFIED IDEOGRAPH-48C4
48C6..48D2    ; restricted ; ~IICore                                                  # [13] (䣆..䣒)  CJK UNIFIED IDEOGRAPH-48C6..CJK UNIFIED IDEOGRAPH-48D2
48D4..4946    ; restricted ; ~IICore                                                  # [115] (䣔..䥆)  CJK UNIFIED IDEOGRAPH-48D4..CJK UNIFIED IDEOGRAPH-4946
4948..4979    ; restricted ; ~IICore                                                  # [50] (䥈..䥹)  CJK UNIFIED IDEOGRAPH-4948..CJK UNIFIED IDEOGRAPH-4979
497B..497C    ; restricted ; ~IICore                                                  #  [2] (䥻..䥼)  CJK UNIFIED IDEOGRAPH-497B..CJK UNIFIED IDEOGRAPH-497C
497E..4981    ; restricted ; ~IICore                                                  #  [4] (䥾..䦁)  CJK UNIFIED IDEOGRAPH-497E..CJK UNIFIED IDEOGRAPH-4981
4984          ; restricted ; ~IICore                                                  #      (䦄)  CJK UNIFIED IDEOGRAPH-4984
4987..499A    ; restricted ; ~IICore                                                  # [20] (䦇..䦚)  CJK UNIFIED IDEOGRAPH-4987..CJK UNIFIED IDEOGRAPH-499A
499C..499E    ; restricted ; ~IICore                                                  #  [3] (䦜..䦞)  CJK UNIFIED IDEOGRAPH-499C..CJK UNIFIED IDEOGRAPH-499E
49A0..49B5    ; restricted ; ~IICore                                                  # [22] (䦠..䦵)  CJK UNIFIED IDEOGRAPH-49A0..CJK UNIFIED IDEOGRAPH-49B5
49B8..49D0    ; restricted ; ~IICore                                                  # [25] (䦸..䧐)  CJK UNIFIED IDEOGRAPH-49B8..CJK UNIFIED IDEOGRAPH-49D0
49D2..4A11    ; restricted ; ~IICore                                                  # [64] (䧒..䨑)  CJK UNIFIED IDEOGRAPH-49D2..CJK UNIFIED IDEOGRAPH-4A11
4A13..4AB7    ; restricted ; ~IICore                                                  # [165] (䨓..䪷)  CJK UNIFIED IDEOGRAPH-4A13..CJK UNIFIED IDEOGRAPH-4AB7
4AB9..4C76    ; restricted ; ~IICore                                                  # [446] (䪹..䱶)  CJK UNIFIED IDEOGRAPH-4AB9..CJK UNIFIED IDEOGRAPH-4C76
4C78..4C7C    ; restricted ; ~IICore                                                  #  [5] (䱸..䱼)  CJK UNIFIED IDEOGRAPH-4C78..CJK UNIFIED IDEOGRAPH-4C7C
4C7E..4C80    ; restricted ; ~IICore                                                  #  [3] (䱾..䲀)  CJK UNIFIED IDEOGRAPH-4C7E..CJK UNIFIED IDEOGRAPH-4C80
4C82..4C84    ; restricted ; ~IICore                                                  #  [3] (䲂..䲄)  CJK UNIFIED IDEOGRAPH-4C82..CJK UNIFIED IDEOGRAPH-4C84
4C86..4C9E    ; restricted ; ~IICore                                                  # [25] (䲆..䲞)  CJK UNIFIED IDEOGRAPH-4C86..CJK UNIFIED IDEOGRAPH-4C9E
4CA4..4CB2    ; restricted ; ~IICore                                                  # [15] (䲤..䲲)  CJK UNIFIED IDEOGRAPH-4CA4..CJK UNIFIED IDEOGRAPH-4CB2
4CB4..4D07    ; restricted ; ~IICore                                                  # [84] (䲴..䴇)  CJK UNIFIED IDEOGRAPH-4CB4..CJK UNIFIED IDEOGRAPH-4D07
4D09..4D12    ; restricted ; ~IICore                                                  # [10] (䴉..䴒)  CJK UNIFIED IDEOGRAPH-4D09..CJK UNIFIED IDEOGRAPH-4D12
4D1A..4DAD    ; restricted ; ~IICore                                                  # [148] (䴚..䶭)  CJK UNIFIED IDEOGRAPH-4D1A..CJK UNIFIED IDEOGRAPH-4DAD
4DAF..4DB5    ; restricted ; ~IICore                                                  #  [7] (䶯..䶵)  CJK UNIFIED IDEOGRAPH-4DAF..CJK UNIFIED IDEOGRAPH-4DB5
4DC0..4DFF    ; restricted ; technical                                                # [64] (䷀..䷿)  HEXAGRAM FOR THE CREATIVE HEAVEN..HEXAGRAM FOR BEFORE COMPLETION
A490..A4C6    ; restricted ; not in XID+                                              # [55] (꒐..꓆)  YI RADICAL QOT..YI RADICAL KE
A700..A707    ; restricted ; archaic                                                  #  [8] (꜀..꜇)  MODIFIER LETTER CHINESE TONE YIN PING..MODIFIER LETTER CHINESE TONE YANG RU
A708..A716    ; restricted ; technical (phonetic used for Chinese tones)              # [15] (꜈..꜖)  MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR..MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
A840..A877    ; restricted ; archaic script                                           # [56] (ꡀ..꡷)  PHAGS-PA LETTER KA..PHAGS-PA MARK DOUBLE SHAD
D800..DFFF    ; restricted ; default-ignorable                                        # [2048] (U+D800..U+DFFF)  <surrogate-D800>..<surrogate-DFFF>
FB00..FB06    ; restricted ; presentation form                                        #  [7] (ﬀ..ﬆ)  LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FB07..FB12    ; restricted ; presentation form                                        # [12] (U+FB07..U+FB12)  <reserved-FB07>..<reserved-FB12>
FB13..FB17    ; restricted ; presentation form                                        #  [5] (ﬓ..ﬗ)  ARMENIAN SMALL LIGATURE MEN NOW..ARMENIAN SMALL LIGATURE MEN XEH
FB18..FB1C    ; restricted ; presentation form                                        #  [5] (U+FB18..U+FB1C)  <reserved-FB18>..<reserved-FB1C>
FB1D..FB36    ; restricted ; presentation form                                        # [26] (יִ..זּ)  HEBREW LETTER YOD WITH HIRIQ..HEBREW LETTER ZAYIN WITH DAGESH
FB37          ; restricted ; presentation form                                        #      (U+FB37)  <reserved-FB37>
FB38..FB3C    ; restricted ; presentation form                                        #  [5] (טּ..לּ)  HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3D          ; restricted ; presentation form                                        #      (U+FB3D)  <reserved-FB3D>
FB3E          ; restricted ; presentation form                                        #      (מּ)  HEBREW LETTER MEM WITH DAGESH
FB3F          ; restricted ; presentation form                                        #      (U+FB3F)  <reserved-FB3F>
FB40..FB41    ; restricted ; presentation form                                        #  [2] (נּ..סּ)  HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB42          ; restricted ; presentation form                                        #      (U+FB42)  <reserved-FB42>
FB43..FB44    ; restricted ; presentation form                                        #  [2] (ףּ..פּ)  HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB45          ; restricted ; presentation form                                        #      (U+FB45)  <reserved-FB45>
FB46..FBB1    ; restricted ; presentation form                                        # [108] (צּ..ﮱ)  HEBREW LETTER TSADI WITH DAGESH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM
FBB2..FBD2    ; restricted ; presentation form                                        # [33] (U+FBB2..U+FBD2)  <reserved-FBB2>..<reserved-FBD2>
FBD3..FD3D    ; restricted ; presentation form                                        # [363] (ﯓ..ﴽ)  ARABIC LETTER NG ISOLATED FORM..ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
FD3E..FD3F    ; restricted ; not in XID+                                              #  [2] (﴾..﴿)  ORNATE LEFT PARENTHESIS..ORNATE RIGHT PARENTHESIS
FD40..FD4F    ; restricted ; presentation form                                        # [16] (U+FD40..U+FD4F)  <reserved-FD40>..<reserved-FD4F>
FD50..FD8F    ; restricted ; presentation form                                        # [64] (ﵐ..ﶏ)  ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM..ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
FD90..FD91    ; restricted ; presentation form                                        #  [2] (U+FD90..U+FD91)  <reserved-FD90>..<reserved-FD91>
FD92..FDC7    ; restricted ; presentation form                                        # [54] (ﶒ..ﷇ)  ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM..ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
FDC8..FDEF    ; restricted ; presentation form                                        # [40] (U+FDC8..U+FDEF)  <reserved-FDC8>..<noncharacter-FDEF>
FDF0..FDFD    ; restricted ; presentation form                                        # [14] (ﷰ..﷽)  ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM..ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM
FDFE..FDFF    ; restricted ; presentation form                                        #  [2] (U+FDFE..U+FDFF)  <reserved-FDFE>..<reserved-FDFF>
FE00..FE19    ; restricted ; presentation form                                        # [26] (U+FE00..︙)  VARIATION SELECTOR-1..PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
FE1A..FE1F    ; restricted ; presentation form                                        #  [6] (U+FE1A..U+FE1F)  <reserved-FE1A>..<reserved-FE1F>
FE20..FE23    ; restricted ; presentation form                                        #  [4] (︠..︣)  COMBINING LIGATURE LEFT HALF..COMBINING DOUBLE TILDE RIGHT HALF
FE24..FE2F    ; restricted ; presentation form                                        # [12] (U+FE24..U+FE2F)  <reserved-FE24>..<reserved-FE2F>
FE30..FE44    ; restricted ; presentation form                                        # [21] (︰..﹄)  PRESENTATION FORM FOR VERTICAL TWO DOT LEADER..PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
FE45..FE46    ; restricted ; not in XID+                                              #  [2] (﹅..﹆)  SESAME DOT..WHITE SESAME DOT
FE47..FE52    ; restricted ; presentation form                                        # [12] (﹇..﹒)  PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET..SMALL FULL STOP
FE53          ; restricted ; presentation form                                        #      (U+FE53)  <reserved-FE53>
FE54..FE66    ; restricted ; presentation form                                        # [19] (﹔..﹦)  SMALL SEMICOLON..SMALL EQUALS SIGN
FE67          ; restricted ; presentation form                                        #      (U+FE67)  <reserved-FE67>
FE68..FE6B    ; restricted ; presentation form                                        #  [4] (﹨..﹫)  SMALL REVERSE SOLIDUS..SMALL COMMERCIAL AT
FE6C..FE6F    ; restricted ; presentation form                                        #  [4] (U+FE6C..U+FE6F)  <reserved-FE6C>..<reserved-FE6F>
FE70..FE74    ; restricted ; presentation form                                        #  [5] (ﹰ..ﹴ)  ARABIC FATHATAN ISOLATED FORM..ARABIC KASRATAN ISOLATED FORM
FE75          ; restricted ; presentation form                                        #      (U+FE75)  <reserved-FE75>
FE76..FEFC    ; restricted ; presentation form                                        # [135] (ﹶ..ﻼ)  ARABIC FATHA ISOLATED FORM..ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFF          ; restricted ; default-ignorable                                        #      (U+FEFF)  ZERO WIDTH NO-BREAK SPACE
FFA0          ; restricted ; default-ignorable                                        #      (U+FFA0)  HALFWIDTH HANGUL FILLER
10000..1000B  ; restricted ; archaic script                                           # [12] (𐀀..𐀋)  LINEAR B SYLLABLE B008 A..LINEAR B SYLLABLE B046 JE
1000D..10026  ; restricted ; archaic script                                           # [26] (𐀍..𐀦)  LINEAR B SYLLABLE B036 JO..LINEAR B SYLLABLE B032 QO
10028..1003A  ; restricted ; archaic script                                           # [19] (𐀨..𐀺)  LINEAR B SYLLABLE B060 RA..LINEAR B SYLLABLE B042 WO
1003C..1003D  ; restricted ; archaic script                                           #  [2] (𐀼..𐀽)  LINEAR B SYLLABLE B017 ZA..LINEAR B SYLLABLE B074 ZE
1003F..1004D  ; restricted ; archaic script                                           # [15] (𐀿..𐁍)  LINEAR B SYLLABLE B020 ZO..LINEAR B SYLLABLE B091 TWO
10050..1005D  ; restricted ; archaic script                                           # [14] (𐁐..𐁝)  LINEAR B SYMBOL B018..LINEAR B SYMBOL B089
10080..100FA  ; restricted ; archaic script                                           # [123] (𐂀..𐃺)  LINEAR B IDEOGRAM B100 MAN..LINEAR B IDEOGRAM VESSEL B305
10140..10174  ; restricted ; archaic                                                  # [53] (𐅀..𐅴)  GREEK ACROPHONIC ATTIC ONE QUARTER..GREEK ACROPHONIC STRATIAN FIFTY MNAS
10300..1031E  ; restricted ; archaic script                                           # [31] (𐌀..𐌞)  OLD ITALIC LETTER A..OLD ITALIC LETTER UU
10320..10323  ; restricted ; not in XID+                                              #  [4] (𐌠..𐌣)  OLD ITALIC NUMERAL ONE..OLD ITALIC NUMERAL FIFTY
10330..1034A  ; restricted ; archaic script                                           # [27] (𐌰..𐍊)  GOTHIC LETTER AHSA..GOTHIC LETTER NINE HUNDRED
10380..1039D  ; restricted ; archaic script                                           # [30] (𐎀..𐎝)  UGARITIC LETTER ALPA..UGARITIC LETTER SSU
1039F..103C3  ; restricted ; archaic script                                           # [37] (𐎟..𐏃)  UGARITIC WORD DIVIDER..OLD PERSIAN SIGN HA
103C8..103D5  ; restricted ; archaic script                                           # [14] (𐏈..𐏕)  OLD PERSIAN SIGN AURAMAZDAA..OLD PERSIAN NUMBER HUNDRED
10400..1049D  ; restricted ; archaic script                                           # [158] (𐐀..𐒝)  DESERET CAPITAL LETTER LONG I..OSMANYA LETTER OO
104A0..104A9  ; restricted ; archaic script                                           # [10] (𐒠..𐒩)  OSMANYA DIGIT ZERO..OSMANYA DIGIT NINE
