#Doc №	Subject	Source	Date
L2/05-178	A Sgaw Karen Unicode Proposal; Extending Myanmar to Incorporate Sgaw Karen	Martin Hosken	2005-07-29
L2/05-179	UTC #104 Agenda	Lisa Moore	2005-08-05
L2/05-180	UTC #104 Minutes	Lisa Moore	2005-08-17
L2/05-181	UTC #104 Motions	Lisa Moore	2005-08-17
L2/05-182	L2 #201 Agenda	Cathy Wissink	2005-08-01
L2/05-183	Preliminary proposal to add medievalist characters to the UCS	Michael Everson, Odd Einar Haugen, et al	2005-08-02
L2/05-184	Dissociating Myanmar Medials: A Proposal to Encode Separate Myanmar Medials	Martin Hosken	2005-08-01
L2/05-185	Documentation for KSSA as Non-conjunct Consonant and Conjunct Consonant in Tamil	INFITT	2005-08-01
L2/05-186	Suggested Tamil default collation in the UCA	INFITT WG02	2005-08-01
L2/05-187	Notification of Approval for the US National Body to Host the Spring 2006 JTC 1/SC 2Plenary	INCITS	2005-08-02
L2/05-188	Lao Tham in Terms of Lanna: a response to L2/05-166 from L2/05-095	Martin Hosken	2005-08-02
L2/05-189	Report on progress in implementing the Uralic Phonetic Alphabet with indication of the need for additional characters and symbols	Juhani Lehtiranta, et al	2005-08-02
L2/05-190	Disposition of Comments Report for SC 22 N 3666, ISO/IEC FCD 15897	Cathy Wissink	2005-08-02
L2/05-191	Proposal for dealing with lowercase Claudian letters	Ken Whistler	2005-08-02
L2/05-192	Draft 7d3 of UTR #25 (Math)	Asmus Freytag	2005-08-03
L2/05-193	Proposal to encode Claudian Latin letters to the UCS (WG2 N2960)	Michael Everson	2005-08-08
L2/05-194	Proposal to add LATIN SMALL LETTER GLOTTAL STOP to the UCS (WG2 N2962)	Michael Everson, Chris Harvey	2005-08-10
L2/05-195	Initial Language Subtag Registry	Doug Ewell	2005-08-04
L2/05-196	Tags for Identifying Languages (3066bis)	Addison Phillips, Mark Davis	2005-08-04
L2/05-197	Suggested changes in the Character Property Model (#23)	Mark Davis	2005-08-04
L2/05-198	Liaison report, Script Encoding Initiative, UC Berkeley Dept. of Linguistics	Deborah Anderson	2005-08-04
L2/05-199	Snapshot of Open Public Review Issues web page on August 4, 2005	Rick McGowan	2005-08-04
L2/05-200	Comments on Public Review Issues (May 5, 2005 - August 9, 2005)	Rick McGowan	2005-08-09
L2/05-201	Public Review Issue #71: Questions on Malayalam Digits	Rick McGowan	2005-08-04
L2/05-202	Public Review Issue #72: Stability of the Bidi Mirrored Property	Mark Davis	2005-08-04
L2/05-203	Public Review Issue #73: Representative Glyphs for Arabic Characters U+06DF, U+06E0, and U+06E1	Rick McGowan	2005-08-04
L2/05-204	Proposed Draft UAX #24, Script Names	Mark Davis, Asmus Freytag	2005-08-04
L2/05-205	Proposed Draft Unicode Technical Standard #37, Registration of Ideographic Variation Sequences	Hideki Hiura, Eric Muller	2005-08-04
L2/05-206	Recently Closed Action Items (since 2005-05-05)	Rick McGowan	2005-08-05
L2/05-207	Open Action List, before UTC #104 and L2 #201	Rick McGowan	2005-08-05
L2/05-208	Approval of new IPA sound: the labiodental flap	Peter Constable, John Esling	2005-08-05
L2/05-209	Proposed Update UTR #36, Security	Mark Davis	2005-08-05
L2/05-210	Chandrakkala. Samvruthokaram. Chillaksharam, from the perspective of Malayalam Collation	R. Chitrajakumar , N. Gangadharan	2005-08-05
L2/05-211	Suggestions for UAX #15	Mark Davis	2005-08-05
L2/05-212	Background Information on IPA	Mark Davis	2005-08-05
L2/05-213	Samvruthokaram and Chandrakkala (accompanies L2/05-210)	R. Chitrajakumar , N. Gangadharan	2005-08-07
L2/05-214	Chillaksharam of Malayalam Language (accompanies L2/05-210)	R. Chitrajakumar , N. Gangadharan	2005-08-07
L2/05-215	Feedback on Cyrillic letters EL WITH HOOK and HA WITH HOOK (L2/05-080)	Deborah Anderson	2005-08-07
L2/05-216	Letter of Recommendation re Encoding of Myanmar Alphabets in Unicode (WG2 N2966)	Myanmar N.B.	2005-08-07
L2/05-217	Revised Summary of Voting on SC 2 N 3788 : ISO/IEC 10646:2003/FPDAM 2, Information technology -- Universal Multiple-Octet; Coded Character Set (UCS) -- AMENDMENT 2: NKo, Phags-pa, Phoenician and other characters (2.2MB) (WG2 N2959)	SC 2 Secretariat	2005-08-07
L2/05-218	Proposal on Encoding Three Todo Mongolian Punctuation Marks in the; BMP (WG2 N2963)	China N.B.	2005-08-07
L2/05-219	A User’s Agreement Related to Phags-pa Script (WG2 N2964)	China N.B.	2005-08-07
L2/05-220	Revised Summary of Voting on ISO/IEC JTC 1/SC 2 N 3791 : Proposal for New Work Item on ISO/IEC 14651/Amd. 3	SC 2 Secretariat	2005-08-07
L2/05-221	Revised Summary of Voting on SC 2 N 3792: ISO/IEC 14651/PDAM 3	SC 2 Secretariat	2005-08-07
L2/05-222	Final revised proposal to encode the Saurashtra script (WG2 N2969)	Michael Everson, J. C. Krishnamoorty	2005-08-08
L2/05-223	Comments on L2/05‐172 (On Criteria for disunifying Diacritics) From : P. Andries and F. Yergeau	P. Andries, F. Yergeau	2005-08-08
L2/05-224	Letter in Support of L2/05-194 (glottal stop)	Lorna Priest	2005-08-08
L2/05-225	Security Aspects in IDN	Marcos Sanz	2005-08-08
L2/05-226	Working draft of Unicode Technical Standard #37, Registration of Ideographic Variation Sequences	Hideki Hiura, Eric Muller	2005-08-10
L2/05-227	Draft Letter to ISO regarding Ideographic Variation Sequences	Eric Muller	2005-08-10
L2/05-228	Analysis of a TDIL proposal for Vedic	Eric Muller	2005-08-11
L2/05-229	Unicode Security Considerations, UTR #36 (IETF slide presentation)	Michel Suignard	2005-08-11
L2/05-230	Nameslist annotations for new Cyrillic letters	Lorna Priest	2005-08-11
L2/05-231	Regarding the proposed changes for the representative glyphs for 06DF, 06E0, and 06E1	Kamal Mansour	2005-08-11
L2/05-232	Comments on Saurashtra	Michael Everson	2005-08-11
L2/05-233	Open Action List, after UTC #104 and L2 #201	Rick McGowan	2005-08-17
L2/05-234	Letter from Badan Standardisasi Nasional (BSN Indonesia) re Balinese	Indonesia N.B.	2005-08-19
L2/05-235	Minutes for 16 - 18 March 2005 meeting of ISO/JTC1/SC22/I18NRG	SC2	2005-08-19
L2/05-236	Malayalam Language -- Inclusion of Chillu characters	Kerala State IT Mission	2005-08-25
L2/05-237	Clarification on the identity and use of three N’Ko letters (WG2 N2977)	Mamady Doumbouya, et al	2005-08-26
L2/05-238	Proposed change in properties for brackets	Asmus Freytag	2005-08-23
L2/05-239	Liaison Report from the Unicode Consortium (to ISO TC37/SC2)	Peter Constable	2005-08-25
L2/05-240	Response to US/UTC proposal on principles for disunification of combining diacritical marks (WG2 N2978)	Ireland N.B.	2005-08-28
L2/05-241	Old Anatolian scripts	Michael Everson	2005-08-31
L2/05-242	TC37/SC2 Liaison Report to the Unicode Consortium	Peter Constable	2005-09-21
L2/05-243	Final proposal to encode the Ol Chiki script (WG2 N2984)	Michael Everson	2005-09-08
L2/05-244	Proposal to add four Tibetan characters for Balti (WG2 N2985)	Michael Everson	2005-09-06
L2/05-245	Table of Replies for ISO/IEC 14651/FDAM 2, Amendment 2	SC2 Secretariat	2005-09-05
L2/05-246	Letter to Mark Davis from Om Vikas re Malayalam Chillus	Om Vikas	2005-09-06
L2/05-247	Comments on N2976 (On Criteria for disunifying Diacritics)	P. Andries and F. Yergeau	2005-09-05
L2/05-248	Comments on 2977 (Alleged parallel between 3 N’ko Glyphs & Latin Long S)	François Yergeau, Patrick Andries	2005-09-05
L2/05-249	Proposal to include Malayalam Symbols (four fractions)	Kerala State IT Mission	2005-09-06
L2/05-250	Canadian Contribution to the September 2005 SC22 Plenary on Canadian Submission to SC22 Plenary 2005 Linux Working Group	SC22 Secretariat	2005-09-06
L2/05-251	Hamza Issue	Lateef Sagar Shaikh	2005-09-09
L2/05-252	WG2 Meeting Summary (Sophia Antipolis)	Ken Whistler	2005-09-21
L2/05-253	IRG Meeting #24 Resolution (WG2 N2967)	Lu Qin	2005-09-21
L2/05-254	Summary Report of IRG #24 (Kyoto, Japan, 2005-05-24 - 27) (WG2 N2968)	Lu Qin	2005-09-21
L2/05-255	Glyph Forms for PHAGS-PA LETTER YA and PHAGS-PA LETTER; ALTERNATE YA (WG2 N2972)	Andrew West	2005-09-21
L2/05-256	Proposal to add Mahjong symbols (WG2 N2975)	Taiwan	2005-09-21
L2/05-257	Phags-pa Glyphs (WG2 N2979)	Andrew West	2005-09-21
L2/05-258	Defect report and proposal to add one musical multiple rest character (WG2 N2983)	Patrick Andries	2005-09-21
L2/05-259	Proposed additions to Principles and Procedures document (WG2 N2987)	US N.B., V. S. Umamaheswaran	2005-09-21
L2/05-260	Proposal to correct the Character Names for Tai Xuan Jing (WG2 N2988)	Taichi Kawabata	2005-09-21
L2/05-261	Proposal to add six additional Uralicist characters (WG2 N2989)	Klaas Ruppel, Erkki Kolehmainen, et al	2005-09-21
L2/05-262	Disposition of comments on SC2 N 3788 (FPDAM text for Amendment 2 to ISO/IEC 10646:2003) (WG2 N2990)	Michel Suignard	2005-09-21
L2/05-263	Supporting references for N2931: Proposal to Encode Additional Latin Characters for Uighur and Kazak Latin Alphabet (WG2 N2992)	China N.B.	2005-09-21
L2/05-264	Request to clarify text on conjoining Jamo (WG2 N2994)	Asmus Freytag, Ken Whistler	2005-09-21
L2/05-265	Clause 26.1 of ISO/IEC 10646:2003 (WG2 N2996)	Korea N.B.	2005-09-21
L2/05-266	Guidelines for handling requests to add to FDAM (WG2 N2997)	V.S. Umamaheswaran	2005-09-21
L2/05-267	Proposed annotations for Annex P – reference N2988 (WG2 N2998)	Japan N.B.	2005-09-21
L2/05-268	SC2/WG2 Proposed Modification to Program of Work (WG2 N2999)	Michel Suignard	2005-09-21
L2/05-269	Clarification concerning Hangul syllable method (WG2 N3006)	Michel Suignard	2005-09-21
L2/05-270	WG2 Consent Docket (Sophia Antipolis)	Ken Whistler	2005-09-22
L2/05-271	Resolutions of WG 2 meeting 47 (WG2 N2954R)	Mike Ksar	2005-09-22
L2/05-272	Summary of repertoire for FDAM 2 of ISO/IEC 10646 (WG2 N2992)	Asmus Freytag	2005-09-22
L2/05-273	Summary of repertoire of PDAM 3 of ISO/IEC 10646 (WG2 N2993)	Asmus Freytag	2005-09-22
L2/05-274	Snapshot of Pictorial view of Roadmaps to BMP, SMP, SIP and SSP (WG2 N2986)	V. S. Umamaheswaran	2005-09-23
L2/05-275	Recommendations to the next SC2 Plenary concerning the Editing Group of ISO/IEC 14651 (WG2 N3007)	Alain LaBonté	2005-09-23
L2/05-276	U+1DBF Modifier Letter Small Theta	Mark Davis, Ken Whistler	2005-09-27
L2/05-277	Problems with a Language-based Security Approach	Michel Suignard	2005-10-06
L2/05-278	UTC #105 Agenda	Lisa Moore	2005-11-09
L2/05-279	UTC #105 Minutes	Lisa Moore	2005-11-10
L2/05-280	UTC #105 Motions	Lisa Moore	2005-11-10
L2/05-281	Proposed annotations for Annex P – reference N2988	Japan N.B.	2005-09-30
L2/05-282	Proposal for ISO/IEC 14651 Second Edition	Alain LaBonté	2005-09-30
L2/05-283	ISO/IEC 14651/FPDAM 3 - Text for FPDAM ballot	Alain LaBonté	2005-09-30
L2/05-284	ISO/IEC 14651/FPDAM 3	Alain LaBonté	2005-09-30
L2/05-285	Common table for ISO 14651 FPDAM 3 (do not print for meeting)	Alain LaBonté	2005-09-30
L2/05-286	Recommended changes to UAX #29, #14	Mark Davis, Andy Heninger	2005-10-05
L2/05-287	U+047C/U+047D Cyrillic Omega with Titlo	Alexej Kryukov	2005-10-05
L2/05-288	Principles and Procedures for Allocation of New Characters and Scripts and handling of Defect Reports on Character Names (WG2 N3002)	V.S. Umamaheswaran	2005-10-07
L2/05-289	Cuneiform property inconsistencies	Ken Whistler	2005-10-10
L2/05-290	Unicode Standard 5.0, Chapter 3 draft	Julie Allen	2005-10-10
L2/05-291	ISO 4217 Currency Code Issues	Cathy Wissink, Mark Davis	2005-10-10
L2/05-292	Linebreak Issues	Mark Davis	2005-10-10
L2/05-293	Business Plan for JTC1/SC2	Tatsuo Kobayashi	2005-10-12
L2/05-294	Proposed revision to UAX 29	Deborah Goldsmith	2005-10-12
L2/05-295	Proposal to add 3 Malayalam Numbers 10, 100, 1000 and 3 Fraction; symbols 1/4, 1/2 and 3/4 (WG2 N2970)	V.S. Umamaheswaran	2005-10-13
L2/05-296	Correct the glyph shape of Malayalam digit zero - Editorial Corrigendum (WG2 N2971)	V.S. Umamaheswaran	2005-10-13
L2/05-297	New Work Item Proposal: amendments to ISO 4217	TC68	2005-10-13
L2/05-298	New Work Item Proposal: amendments to ISO 4217 - ballot results	TC68	2005-10-13
L2/05-299	Change Management for the Unicode Collation Algorithm Data Table (DUCET)	Ken Whistler, et al	2005-10-13
L2/05-300	Request for Egyptian transliteration characters as provided in N2241: Proposal; to add 6 Egyptological characters to the UCS by Michael Everson	Deborah Anderson	2005-10-13
L2/05-301	UCA Default Table Criteria for New Characters	Ken Whistler	2005-10-18
L2/05-302	Collation Upper- and Lower-Bound Characters	Ken Whistler	2005-10-18
L2/05-303	Inconsistencies in the set of Linebreak=SA characters	Mark Davis	2005-10-18
L2/05-304	General category and bidi property for some Indic characters	Asmus Freytag	2005-10-21
L2/05-305	L2 #202 Agenda	Cathy Wissink	2005-10-21
L2/05-306	Letter Ballot for the Approval of Resolution 05-30a: Cancellation of the; Revision ISO/IEC 15897, Procedure for the Registration of Cultural Elements	SC22	2005-10-21
L2/05-307	ZWJ/ZWNJ behavior under Indic scripts with special reference to chillu, conjuncts, etc in Malayalam	Rajeev J Sebastian	2005-10-21
L2/05-308	Problems of Malayalam Encoding in the Indic context (Rachana’s response to Malayalam encoding debate)	R. Chitrajakumar , N. Gangadharan	2005-10-21
L2/05-309	Proposal for addition of characters to Malayalam Block (revised)	R. Chitrajakumar	2005-10-31
L2/05-310	Rachana Documents (cover letter for L2/05-307, 308, 309)	R. Chitrajakumar	2005-10-21
L2/05-311	Revised proposal to encode Egyptian hieroglyphs in Plane 1 (1.1 MB, 37pp)	Richard Cook, et al	2005-10-24
L2/05-312	Sample of Hieroglyphic mapping data file	Richard Cook, et al	2005-10-24
L2/05-313	Scans from Catalog of the Egyptian Hieroglyphic Printing Type (2MB, 59pp)	Richard Cook, et al	2005-10-24
L2/05-314	Comments on Mark’s proposals re: linebreaking	Asmus Freytag	2005-11-02
L2/05-315	Comments on properties for characters to be introduced in Unicode 5.0	Kent Karlsson	2005-10-24
L2/05-316	Comments on 5.0 properties, and property consistency, for some Indic characters (introduced before 5.0)	Kent Karlsson	2005-10-24
L2/05-317	Comments on ICANN draft Guidelines	Mark Davis	2005-10-24
L2/05-318	Proposals for Unicode Consortium (Arabic math) - overview document	Azzeddine Lazrek	2005-10-24
L2/05-319	Arabic Mathematical Alphabetic Symbols (amas5l.pdf)	Azzeddine Lazrek	2005-10-24
L2/05-320	Arabic Mathematical Diverse Symbols (amds4l.pdf)	Azzeddine Lazrek	2005-10-24
L2/05-321	Arabic Mathematical Old Symbols (amos3l.pdf)	Azzeddine Lazrek	2005-10-24
L2/05-322	Mathematical Symbols (ms3l.pdf)	Azzeddine Lazrek	2005-10-24
L2/05-323	Letter from Dumbarton Oaks re Byzantine Greek inscriptions (see also scanned version with signature delivered by mail here)	Deborah Anderson	2005-10-24
L2/05-324	Proposed Update UAX #9: Bidirectional Algorithm	Mark Davis	2005-10-24
L2/05-325	Proposed Update UTR #25: Unicode Support for Mathematics	Mark Davis	2005-10-25
L2/05-326	Proposed Update UAX #29: Text Boundaries	Mark Davis	2005-10-25
L2/05-327	Draft UTS #37, Ideographic Variation Database	Hideki Hiura, Eric Muller	2005-10-25
L2/05-328	Proposed Draft UTR #36: Unicode Security Considerations	Mark Davis, Michel Suignard	2005-10-25
L2/05-329	Proposed Draft UTS #39: Unicode Security Mechanisms	Mark Davis, Michel Suignard	2005-10-25
L2/05-330	Proposed Update UAX #31: Identifier and Pattern Syntax	Mark Davis	2005-10-25
L2/05-331	Comments on Public Review Issues (August 10, 2005 - October 28, 2005)	Rick McGowan	2005-10-28
L2/05-332	Public Review Issue #80 background document (for UAX #9 update)	Mark Davis	2005-10-25
L2/05-333	Recently Closed Action Items (since 2005-08-18)	Rick McGowan	2005-10-25
L2/05-334	Critical review of Rachana (L2/05-210) and other arguments to encode Malayalam Chillus	Cibu C Johny	2005-10-25
L2/05-335	DENIC’s Comments on ICANN’s Guidelines for the Implementation of Internationalized Domain Names, Version 2.0	Marcos Sanz	2005-10-25
L2/05-336	Suggestions for amending PropertyValueAlias.txt	Michael Everson	2005-10-25
L2/05-337	Letter from Amadeu Abril i Abril in support of inverted interrobang	Michael Everson	2005-10-25
L2/05-338	Comments on N2985 – Balti Tibetan additions (WG2 N3010)	Andrew West	2005-10-25
L2/05-339	Liaison report, Script Encoding Initiative, UC Berkeley Dept. of Linguistics	Deborah Anderson	2005-10-25
L2/05-340	ICANN Email List Archives, comments on IDN draft Sept-Oct 2005 (36pp)	various	2005-10-25
L2/05-341	Summary of proposed changes from L2/05-106, Byzantine Musical Notation	Deborah Anderson	2005-10-25
L2/05-342	Lithuanian case folding	John Cowan	2005-10-25
L2/05-343	Proposal to Encode the Kaithi Script in Plane 1	Anshuman Pandey	2005-10-26
L2/05-344	Proposed changes to Gurmukhi 3	Sukhjinder Sidhu	2005-10-27
L2/05-345	Proposal to encode one Tibetan astrological character (WG2 N3011)	Andrew West	2005-10-27
L2/05-346	Proposal to encode three archaic Tibetan characters (WG2 N3012)	Andrew West	2005-10-27
L2/05-347	Comments on: N3012 - Proposal to encode three archaic Tibetan characters	Christopher J. Fynn	2005-10-27
L2/05-348	5th Working Draft - Information Technology - Screen icons and symbols for; personal mobile communication devices	SC35 (A. Winkler)	2005-10-27
L2/05-349	Information Technology - Screen icons and symbols for personal mobile communication devices	SC35 (A. Winkler)	2005-10-27
L2/05-350	New Work item Proposal Information Technology - User Interfaces - Accessible User Interface for Accessibility Setting on Information Devices Part I : General and methods to start.	SC35 (A. Winkler)	2005-10-27
L2/05-351	Report of the SC 35 Plenary Meeting – University of Madison, Wisconsin – July 5th – 9th 2005	SC35 (A. Winkler)	2005-10-27
L2/05-352	TR 29 and Myanmar/Khmer	Martin Hosken	2005-10-28
L2/05-353	Feedback on UTR #36	Mark Davis	2005-10-28
L2/05-354	Chillu and Semivowel examples (this is an addendum to L2/05-308)	R. Chitrajakumar , N. Gangadharan	2005-10-28
L2/05-355	SG 17 requirements for future editions of ISO/IEC 10646	ITU-T Study Group 17	2005-10-28
L2/05-356	Proposed UTN "Unicode, BOM, Signatures"	Markus Scherer	2005-10-28
L2/05-357	Note on Lao Character Names	Andrew West	2005-10-31
L2/05-358	Sample code chart with extra information	Mark Davis	2005-11-02
L2/05-359	Complex Mapping Description: A Description of an Extension to UTR22	Martin Hosken	2005-11-03
L2/05-360	L2 #201 Minutes	Cathy Wissink	2005-11-03
L2/05-361	Call for Volunteers - Chairman - INCITS/L2	Jennifer Garner	2005-11-03
L2/05-362	Bidi ad hoc report: bidi mirroring characters	Mark Davis	2005-11-03
L2/05-363	Guidelines for the Implementation of Internationalized Domain Names	Gary Karp, et al	2005-11-03
L2/05-364	Re: New Tibetan Proposals	Chris Fynn	2005-11-04
L2/05-365	ISO/IEC 10646:2003/Amd.2:2006 (FDAM 2) - additional files are HERE	Michel Suignard	2005-11-04
L2/05-366	ISO/IEC 10646:2003/Amd.3:2006 (PDAM 3) - additional files are HERE	Michel Suignard	2005-11-04
L2/05-367	L2 #202 Minutes	Lisa Moore	2005-11-04
L2/05-368	Towards an encoding of the Kaithi script	Michael Everson	2005-11-10
L2/05-369	W3C-Unicode Liaison Report	Felix Sasaki	2005-11-11
L2/05-370	Letter to ITU re Liaison membership	Lisa Moore	2005-11-17
L2/05-371	Gurmukhi annotations	Sukhjinder Sidhu	2005-11-21
L2/05-372	Chillus, Samvrithokaram and Chandrakkala - A Problem Which is Not	Mahesh T. Pai	2005-11-22
L2/05-373	Malayalam keyboard layout and character encoding. Report of the Government of Kerala Committee, May 2001	Gov’t of Kerala	2005-11-30
L2/05-374	(void - see L2/05-371)		1972-01-01
L2/05-375	Statement from UTC to ICANN	Mark Davis	2005-11-28
L2/05-376	Script value for unassigned code points	Mark Davis	2005-11-28
L2/05-377	Request to Allocate the Sharada Script in the Unicode Roadmap	Anshuman Pandey	2005-11-30
L2/05-378	Proposal to change the script property for three Mongolian punctuation marks	Eric Muller	2005-12-05
L2/05-379	Proposal to add the property Jamo_Short_Name property	Eric Muller	2005-12-05
L2/05-380	Proposal to encode the Lycian and Lydian scripts (WG2 N3019)	Michael Everson	2005-12-30
L2/05-381	ISO/IEC PDTR 19765 - Information Technology - Survey of icons and symbols that provide access to functions and facilities to improve the use of IT products by the elderly and persons with disabilities	SC35 Secretariat	2005-12-09
L2/05-382	ISO/IEC FDIS 15897 - Procedures for registration of cultural elements, Explanatory Report	SC22	2005-12-28
L2/05-383	ISO/IEC FDIS 15897 - Procedures for registration of cultural elements	SC22	2005-12-28
L2/05-384	Proposal to encode Gurmukhi Udaat (See also L2/05-344)	Sukhjinder Sidhu	2005-12-30
L2/05-385	(void)		1972-01-01
L2/05-386	Proposal to encode the Carian script (WG2 N3020)	Michael Everson	2005-12-31
L2/06-001	Complete L2/UTC document register 2005	Rick McGowan	2006-01-12
L2/06-002	Proposal for encoding the Sundanese script	Michael Everson	2006-01-11
L2/06-003	Preliminary proposal for encoding the Rejang script	Michael Everson	2006-01-12
L2/06-004	Preliminary proposal for encoding the Kayah Li script	Michael Everson	2006-01-12
L2/06-005	Report on IRG #25	Richard Cook	2006-01-12
L2/06-006	Final Follow-Up to INCITS 1267 - Appointment of Chairman - INCITS/L2	Jennifer Garner	2006-01-12
L2/06-007	UTC #106 Agenda	Lisa Moore	2006-01-25
L2/06-008	UTC #106 Minutes	Lisa Moore	2006-02-13
L2/06-009	UTC #106 Motions	Lisa Moore	2006-02-13
L2/06-010	Editorial suggestions for UAX #9: 5.0.0	Asmus Freytag	2006-01-20
L2/06-011	Cyrillic Omega with Titlo	Ralph Cleminson	2006-01-20
L2/06-012	Comments and response regarding use of BOM and UTFs in the MPEG Streaming text format standard, for information to the UTC	V. S. Umamaheswaran	2006-01-20
L2/06-013	Proposal to encode one Manchu ali gali letter "lha"	Andrew West	2006-01-23
L2/06-014	Letter from Marcia Courtemanche to Lisa Moore regarding BOCU Patent (see also plain text version)	Lisa Moore	2006-01-24
L2/06-015	Project Subdivision Proposal for ISO/IEC 10646: 2003/Amendment 3	WG2	2006-01-25
L2/06-016	Ballot for Project Subdivision Proposal for ISO/IEC 10646: 2003/Amendment 3	WG2	2006-01-25
L2/06-017	ISO/IEC 10646 - Amd 3: Lepcha, Ol Chiki, Saurashtra, Vai, and other characters (see also Am3Names file)	WG2	2006-01-25
L2/06-018	Ballot for ISO/IEC 10646 - Amd 3	WG2	2006-01-25
L2/06-019	Proposed Update to UAX #34: Unicode Named Character Sequences	Ken Whistler	2006-01-25
L2/06-020	Public Review Issue #82: Representation of Gurmukhi Double Vowels	Rick McGowan	2006-01-25
L2/06-021	Proposed Update UAX #15: Unicode Normalization Forms	Mark Davis, Martin Duerst	2006-01-25
L2/06-022	Proposed Update UAX #24: Script Names	Mark Davis	2006-01-25
L2/06-023	Proposed Update UAX #14: Line Breaking Properties	Asmus Freytag	2006-01-25
L2/06-024	ZWJ/ZWNJ in Identifiers	Mark Davis	2006-01-26
L2/06-025	Latin, Greek, Cyrillic, and Han	Mark Davis	2006-01-26
L2/06-026	Documenting missing values in data files	Mark Davis	2006-01-26
L2/06-027	Proposal to add Medievalist characters to the UCS	Michael Everson	2006-01-30
L2/06-028	Proposal to add Mayanist Latin letters to the UCS	Michael Everson	2006-01-30
L2/06-029	Further discussion of Myanmar medials	Michael Everson	2006-03-22
L2/06-030	Proposed Changes to Gurmukhi 4	Sukhjinder Sidhu	2006-01-30
L2/06-031	Comments on Public Review Issues (October 29, 2005 - January 30, 2006)	Rick McGowan	2006-02-01
L2/06-032	Standards Processing - 5 year National maintenance	INCITS	2006-01-26
L2/06-033	PRI #83: Changing Glyph for U+047C/U+047D Cyrillic Omega with Titlo	Rick McGowan	2006-01-26
L2/06-034	Comments on UTR #25 (Unicode and Mathematics)	Philip Chastney	2006-01-26
L2/06-035	Snapshot of Open Public Review Issues web page on January 27, 2006	Rick McGowan	2006-01-26
L2/06-036	Proposal to encode characters for Ordbok över Finlands svenska folkmål	Erkki I. Kolehmainen, et al	2006-01-30
L2/06-037	Proposal to encode Gurmukhi Sign Yakash (revised 2006/04/07)	Sukhjinder Sidhu	2006-01-30
L2/06-038	UAX #15 Clarifications and FAQ	Mark Davis, Ken Whistler	2006-01-30
L2/06-039	Preliminary Proposal to add Nuqta Characters to Arabic Block	Attash Durrani	2006-01-30
L2/06-040	Proposal to add old Cyrillic titlo-letters to the UCS	Alexey Kryukov, Vladislav Dorosh	2006-01-30
L2/06-041	Unified Tai Script for Unicode	Ngo Trung Viet, Jim Brase	2006-01-30
L2/06-042	Proposal for additional Cyrillic characters	Ralph Cleminson	2006-02-01
L2/06-043	Proposal to encode one Tibetan punctuation mark (WG2 N3032) - see also L2/05-346; this splits and revises that proposal)	Andrew West	2006-01-30
L2/06-044	Proposal to encode two archaic Tibetan punctuation marks (WG2 N3033) - see also L2/05-346; this splits and revises that proposal)	Andrew West	2006-01-30
L2/06-045	Review and Recommendations for Internationalized Domain Names (IDN)	J. Klensin, P Faltstrom	2006-01-30
L2/06-046	Liaison report, Script Encoding Initiative, UC Berkeley Dept. of Linguistics	Deborah Anderson	2006-02-01
L2/06-047	Proposed Update Unicode Technical Report #36: Unicode Security Considerations	Mark Davis, Michel Suignard	2006-02-02
L2/06-048	Letter of support for Medievalist letters (L2/06-027)	Antonio Emiliano	2006-02-02
L2/06-049	Letter of support for Medievalist letters (L2/06-027)	Susana Tavares Pedro	2006-02-02
L2/06-050	Proposal to encode the Lycian and Lydian scripts (WG2 N3019R2) This proposal replaces L2/05-380	Michael Everson	2006-02-05
L2/06-051	1st Call, for third meeting of OWG‐SORT, Mountain View (April 2006)	SC2	2006-02-05
L2/06-052	Internet Application Protocol Collation Registry	C. Newman, et al	2006-02-05
L2/06-053	Use of ZWJ for Bengali CV "Ligatures"	Peter Constable	2006-02-06
L2/06-054	Proposal for the Addition of Math Characters	Asmus Freytag, et al	2006-02-06
L2/06-055	Confusable data as relative concept	Michel Suignard	2006-02-06
L2/06-056	Comments on nextsteps (L2/06-045)	Mark Davis	2006-02-07
L2/06-057	Summary of Voting on SC 22 N 3996, Letter Ballot for the Approval of Resolution 05-30a: Cancellation of the Revision of ISO/IEC 15897	SC22	2006-02-07
L2/06-058	ISO/IEC 10646-2003 FPDAM 2 - Explanatory Report	SC2 Secretariat	2006-02-07
L2/06-059	ISO/IEC 10646-2003 FPDAM 2 (additional files are HERE)	SC2 Secretariat	2006-02-07
L2/06-060	Open action items before UTC #106 / L2 #203	Rick McGowan	2006-02-07
L2/06-061	Recently Closed Action Items (since 2005-10-25)	Rick McGowan	2006-02-07
L2/06-062	Suggested text for addition to the Stability Policies	Mark Davis	2006-02-07
L2/06-063	Logistical Information for the ISO/IEC JTC1/SC 2/WG 2 & SC 2 Plenary Meetings, Mountain View, CA, USA, 2006-04-24/28	SC2 Secretariat	2006-02-08
L2/06-064	1st Call Meeting # 48 from 2006-04-24/27	WG2	2006-02-08
L2/06-065	N 4016-Letter Ballot for the Approval of Resolution 05-30b: Progression of the Revision of ISO/IEC 15897	SC22	2006-02-08
L2/06-066	L2 #203 Agenda	Eric Muller	2006-02-08
L2/06-067	Proposal to move some casing data from the UCD to the CLDR	Eric Muller	2006-02-08
L2/06-068	W3C Liaison Report	Mark Davis	2006-02-09
L2/06-069	US Ballot comments on PDAM 3 of 10646	Michel Suignard	2006-02-22
