#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'24CF	'1.1	'So	'Enc	CIRCLED LATIN CAPITAL LETTER Z	'ⓩ	'z	'z	'z	Tr≠N4M			'24E9	'007A	'007A	'007A	16. NFKC_CF-Circle
'24D0	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER A	'ⓐ	'a	'a	'a	Tr≠N4M			'24D0	'0061	'0061	'0061	16. NFKC_CF-Circle
'24D1	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER B	'ⓑ	'b	'b	'b	Tr≠N4M			'24D1	'0062	'0062	'0062	16. NFKC_CF-Circle
'24D2	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER C	'ⓒ	'c	'c	'c	Tr≠N4M			'24D2	'0063	'0063	'0063	16. NFKC_CF-Circle
'24D3	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER D	'ⓓ	'd	'd	'd	Tr≠N4M			'24D3	'0064	'0064	'0064	16. NFKC_CF-Circle
'24D4	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER E	'ⓔ	'e	'e	'e	Tr≠N4M			'24D4	'0065	'0065	'0065	16. NFKC_CF-Circle
'24D5	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER F	'ⓕ	'f	'f	'f	Tr≠N4M			'24D5	'0066	'0066	'0066	16. NFKC_CF-Circle
'24D6	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER G	'ⓖ	'g	'g	'g	Tr≠N4M			'24D6	'0067	'0067	'0067	16. NFKC_CF-Circle
'24D7	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER H	'ⓗ	'h	'h	'h	Tr≠N4M			'24D7	'0068	'0068	'0068	16. NFKC_CF-Circle
'24D8	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER I	'ⓘ	'i	'i	'i	Tr≠N4M			'24D8	'0069	'0069	'0069	16. NFKC_CF-Circle
'24D9	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER J	'ⓙ	'j	'j	'j	Tr≠N4M			'24D9	'006A	'006A	'006A	16. NFKC_CF-Circle
'24DA	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER K	'ⓚ	'k	'k	'k	Tr≠N4M			'24DA	'006B	'006B	'006B	16. NFKC_CF-Circle
'24DB	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER L	'ⓛ	'l	'l	'l	Tr≠N4M			'24DB	'006C	'006C	'006C	16. NFKC_CF-Circle
'24DC	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER M	'ⓜ	'm	'm	'm	Tr≠N4M			'24DC	'006D	'006D	'006D	16. NFKC_CF-Circle
'24DD	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER N	'ⓝ	'n	'n	'n	Tr≠N4M			'24DD	'006E	'006E	'006E	16. NFKC_CF-Circle
'24DE	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER O	'ⓞ	'o	'o	'o	Tr≠N4M			'24DE	'006F	'006F	'006F	16. NFKC_CF-Circle
'24DF	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER P	'ⓟ	'p	'p	'p	Tr≠N4M			'24DF	'0070	'0070	'0070	16. NFKC_CF-Circle
'24E0	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER Q	'ⓠ	'q	'q	'q	Tr≠N4M			'24E0	'0071	'0071	'0071	16. NFKC_CF-Circle
'24E1	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER R	'ⓡ	'r	'r	'r	Tr≠N4M			'24E1	'0072	'0072	'0072	16. NFKC_CF-Circle
'24E2	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER S	'ⓢ	's	's	's	Tr≠N4M			'24E2	'0073	'0073	'0073	16. NFKC_CF-Circle
'24E3	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER T	'ⓣ	't	't	't	Tr≠N4M			'24E3	'0074	'0074	'0074	16. NFKC_CF-Circle
'24E4	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER U	'ⓤ	'u	'u	'u	Tr≠N4M			'24E4	'0075	'0075	'0075	16. NFKC_CF-Circle
'24E5	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER V	'ⓥ	'v	'v	'v	Tr≠N4M			'24E5	'0076	'0076	'0076	16. NFKC_CF-Circle
'24E6	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER W	'ⓦ	'w	'w	'w	Tr≠N4M			'24E6	'0077	'0077	'0077	16. NFKC_CF-Circle
'24E7	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER X	'ⓧ	'x	'x	'x	Tr≠N4M			'24E7	'0078	'0078	'0078	16. NFKC_CF-Circle
'24E8	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER Y	'ⓨ	'y	'y	'y	Tr≠N4M			'24E8	'0079	'0079	'0079	16. NFKC_CF-Circle
'24E9	'1.1	'So	'Enc	CIRCLED LATIN SMALL LETTER Z	'ⓩ	'z	'z	'z	Tr≠N4M			'24E9	'007A	'007A	'007A	16. NFKC_CF-Circle
'3244	'5.2	'So	'Enc	CIRCLED IDEOGRAPH QUESTION	'㉄	'問	'問	'問	Tr≠N4M			'3244	'554F	'554F	'554F	16. NFKC_CF-Circle
'3245	'5.2	'So	'Enc	CIRCLED IDEOGRAPH KINDERGARTEN	'㉅	'幼	'幼	'幼	Tr≠N4M			'3245	'5E7C	'5E7C	'5E7C	16. NFKC_CF-Circle
'3246	'5.2	'So	'Enc	CIRCLED IDEOGRAPH SCHOOL	'㉆	'文	'文	'文	Tr≠N4M			'3246	'6587	'6587	'6587	16. NFKC_CF-Circle
'3247	'5.2	'So	'Enc	CIRCLED IDEOGRAPH KOTO	'㉇	'箏	'箏	'箏	Tr≠N4M			'3247	'7B8F	'7B8F	'7B8F	16. NFKC_CF-Circle
'3260	'1.1	'So	'Enc	CIRCLED HANGUL KIYEOK	'㉠	'ᄀ	'ᄀ	'ᄀ	Tr≠N4M			'3260	'1100	'1100	'1100	16. NFKC_CF-Circle
'3261	'1.1	'So	'Enc	CIRCLED HANGUL NIEUN	'㉡	'ᄂ	'ᄂ	'ᄂ	Tr≠N4M			'3261	'1102	'1102	'1102	16. NFKC_CF-Circle
'3262	'1.1	'So	'Enc	CIRCLED HANGUL TIKEUT	'㉢	'ᄃ	'ᄃ	'ᄃ	Tr≠N4M			'3262	'1103	'1103	'1103	16. NFKC_CF-Circle
'3263	'1.1	'So	'Enc	CIRCLED HANGUL RIEUL	'㉣	'ᄅ	'ᄅ	'ᄅ	Tr≠N4M			'3263	'1105	'1105	'1105	16. NFKC_CF-Circle
'3264	'1.1	'So	'Enc	CIRCLED HANGUL MIEUM	'㉤	'ᄆ	'ᄆ	'ᄆ	Tr≠N4M			'3264	'1106	'1106	'1106	16. NFKC_CF-Circle
'3265	'1.1	'So	'Enc	CIRCLED HANGUL PIEUP	'㉥	'ᄇ	'ᄇ	'ᄇ	Tr≠N4M			'3265	'1107	'1107	'1107	16. NFKC_CF-Circle
'3266	'1.1	'So	'Enc	CIRCLED HANGUL SIOS	'㉦	'ᄉ	'ᄉ	'ᄉ	Tr≠N4M			'3266	'1109	'1109	'1109	16. NFKC_CF-Circle
'3267	'1.1	'So	'Enc	CIRCLED HANGUL IEUNG	'㉧	'ᄋ	'ᄋ	'ᄋ	Tr≠N4M			'3267	'110B	'110B	'110B	16. NFKC_CF-Circle
'3268	'1.1	'So	'Enc	CIRCLED HANGUL CIEUC	'㉨	'ᄌ	'ᄌ	'ᄌ	Tr≠N4M			'3268	'110C	'110C	'110C	16. NFKC_CF-Circle
'3269	'1.1	'So	'Enc	CIRCLED HANGUL CHIEUCH	'㉩	'ᄎ	'ᄎ	'ᄎ	Tr≠N4M			'3269	'110E	'110E	'110E	16. NFKC_CF-Circle
'326A	'1.1	'So	'Enc	CIRCLED HANGUL KHIEUKH	'㉪	'ᄏ	'ᄏ	'ᄏ	Tr≠N4M			'326A	'110F	'110F	'110F	16. NFKC_CF-Circle
'326B	'1.1	'So	'Enc	CIRCLED HANGUL THIEUTH	'㉫	'ᄐ	'ᄐ	'ᄐ	Tr≠N4M			'326B	'1110	'1110	'1110	16. NFKC_CF-Circle
'326C	'1.1	'So	'Enc	CIRCLED HANGUL PHIEUPH	'㉬	'ᄑ	'ᄑ	'ᄑ	Tr≠N4M			'326C	'1111	'1111	'1111	16. NFKC_CF-Circle
'326D	'1.1	'So	'Enc	CIRCLED HANGUL HIEUH	'㉭	'ᄒ	'ᄒ	'ᄒ	Tr≠N4M			'326D	'1112	'1112	'1112	16. NFKC_CF-Circle
'326E	'1.1	'So	'Enc	CIRCLED HANGUL KIYEOK A	'㉮	'가	'가	'가	Tr≠N4M			'326E	'AC00	'AC00	'AC00	16. NFKC_CF-Circle
'326F	'1.1	'So	'Enc	CIRCLED HANGUL NIEUN A	'㉯	'나	'나	'나	Tr≠N4M			'326F	'B098	'B098	'B098	16. NFKC_CF-Circle
'3270	'1.1	'So	'Enc	CIRCLED HANGUL TIKEUT A	'㉰	'다	'다	'다	Tr≠N4M			'3270	'B2E4	'B2E4	'B2E4	16. NFKC_CF-Circle
'3271	'1.1	'So	'Enc	CIRCLED HANGUL RIEUL A	'㉱	'라	'라	'라	Tr≠N4M			'3271	'B77C	'B77C	'B77C	16. NFKC_CF-Circle
'3272	'1.1	'So	'Enc	CIRCLED HANGUL MIEUM A	'㉲	'마	'마	'마	Tr≠N4M			'3272	'B9C8	'B9C8	'B9C8	16. NFKC_CF-Circle
'3273	'1.1	'So	'Enc	CIRCLED HANGUL PIEUP A	'㉳	'바	'바	'바	Tr≠N4M			'3273	'BC14	'BC14	'BC14	16. NFKC_CF-Circle
'3274	'1.1	'So	'Enc	CIRCLED HANGUL SIOS A	'㉴	'사	'사	'사	Tr≠N4M			'3274	'C0AC	'C0AC	'C0AC	16. NFKC_CF-Circle
'3275	'1.1	'So	'Enc	CIRCLED HANGUL IEUNG A	'㉵	'아	'아	'아	Tr≠N4M			'3275	'C544	'C544	'C544	16. NFKC_CF-Circle
'3276	'1.1	'So	'Enc	CIRCLED HANGUL CIEUC A	'㉶	'자	'자	'자	Tr≠N4M			'3276	'C790	'C790	'C790	16. NFKC_CF-Circle
'3277	'1.1	'So	'Enc	CIRCLED HANGUL CHIEUCH A	'㉷	'차	'차	'차	Tr≠N4M			'3277	'CC28	'CC28	'CC28	16. NFKC_CF-Circle
'3278	'1.1	'So	'Enc	CIRCLED HANGUL KHIEUKH A	'㉸	'카	'카	'카	Tr≠N4M			'3278	'CE74	'CE74	'CE74	16. NFKC_CF-Circle
'3279	'1.1	'So	'Enc	CIRCLED HANGUL THIEUTH A	'㉹	'타	'타	'타	Tr≠N4M			'3279	'D0C0	'D0C0	'D0C0	16. NFKC_CF-Circle
'327A	'1.1	'So	'Enc	CIRCLED HANGUL PHIEUPH A	'㉺	'파	'파	'파	Tr≠N4M			'327A	'D30C	'D30C	'D30C	16. NFKC_CF-Circle
'327B	'1.1	'So	'Enc	CIRCLED HANGUL HIEUH A	'㉻	'하	'하	'하	Tr≠N4M			'327B	'D558	'D558	'D558	16. NFKC_CF-Circle
'327C	'4.0	'So	'Enc	CIRCLED KOREAN CHARACTER CHAMKO	'㉼	'참고	'참고	'참고	Tr≠N4M			'327C	'CC38 ACE0	'CC38 ACE0	'CC38 ACE0	16. NFKC_CF-Circle
'327D	'4.0	'So	'Enc	CIRCLED KOREAN CHARACTER JUEUI	'㉽	'주의	'주의	'주의	Tr≠N4M			'327D	'C8FC C758	'C8FC C758	'C8FC C758	16. NFKC_CF-Circle
'327E	'4.1	'So	'Enc	CIRCLED HANGUL IEUNG U	'㉾	'우	'우	'우	Tr≠N4M			'327E	'C6B0	'C6B0	'C6B0	16. NFKC_CF-Circle
'328A	'1.1	'So	'Enc	CIRCLED IDEOGRAPH MOON	'㊊	'月	'月	'月	Tr≠N4M			'328A	'6708	'6708	'6708	16. NFKC_CF-Circle
'328B	'1.1	'So	'Enc	CIRCLED IDEOGRAPH FIRE	'㊋	'火	'火	'火	Tr≠N4M			'328B	'706B	'706B	'706B	16. NFKC_CF-Circle
'328C	'1.1	'So	'Enc	CIRCLED IDEOGRAPH WATER	'㊌	'水	'水	'水	Tr≠N4M			'328C	'6C34	'6C34	'6C34	16. NFKC_CF-Circle
'328D	'1.1	'So	'Enc	CIRCLED IDEOGRAPH WOOD	'㊍	'木	'木	'木	Tr≠N4M			'328D	'6728	'6728	'6728	16. NFKC_CF-Circle
'328E	'1.1	'So	'Enc	CIRCLED IDEOGRAPH METAL	'㊎	'金	'金	'金	Tr≠N4M			'328E	'91D1	'91D1	'91D1	16. NFKC_CF-Circle
'328F	'1.1	'So	'Enc	CIRCLED IDEOGRAPH EARTH	'㊏	'土	'土	'土	Tr≠N4M			'328F	'571F	'571F	'571F	16. NFKC_CF-Circle
'3290	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SUN	'㊐	'日	'日	'日	Tr≠N4M			'3290	'65E5	'65E5	'65E5	16. NFKC_CF-Circle
'3291	'1.1	'So	'Enc	CIRCLED IDEOGRAPH STOCK	'㊑	'株	'株	'株	Tr≠N4M			'3291	'682A	'682A	'682A	16. NFKC_CF-Circle
'3292	'1.1	'So	'Enc	CIRCLED IDEOGRAPH HAVE	'㊒	'有	'有	'有	Tr≠N4M			'3292	'6709	'6709	'6709	16. NFKC_CF-Circle
'3293	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SOCIETY	'㊓	'社	'社	'社	Tr≠N4M			'3293	'793E	'793E	'793E	16. NFKC_CF-Circle
'3294	'1.1	'So	'Enc	CIRCLED IDEOGRAPH NAME	'㊔	'名	'名	'名	Tr≠N4M			'3294	'540D	'540D	'540D	16. NFKC_CF-Circle
'3295	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SPECIAL	'㊕	'特	'特	'特	Tr≠N4M			'3295	'7279	'7279	'7279	16. NFKC_CF-Circle
'3296	'1.1	'So	'Enc	CIRCLED IDEOGRAPH FINANCIAL	'㊖	'財	'財	'財	Tr≠N4M			'3296	'8CA1	'8CA1	'8CA1	16. NFKC_CF-Circle
'3297	'1.1	'So	'Enc	CIRCLED IDEOGRAPH CONGRATULATION	'㊗	'祝	'祝	'祝	Tr≠N4M			'3297	'795D	'795D	'795D	16. NFKC_CF-Circle
'3298	'1.1	'So	'Enc	CIRCLED IDEOGRAPH LABOR	'㊘	'労	'労	'労	Tr≠N4M			'3298	'52B4	'52B4	'52B4	16. NFKC_CF-Circle
'3299	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SECRET	'㊙	'秘	'秘	'秘	Tr≠N4M			'3299	'79D8	'79D8	'79D8	16. NFKC_CF-Circle
'329A	'1.1	'So	'Enc	CIRCLED IDEOGRAPH MALE	'㊚	'男	'男	'男	Tr≠N4M			'329A	'7537	'7537	'7537	16. NFKC_CF-Circle
'329B	'1.1	'So	'Enc	CIRCLED IDEOGRAPH FEMALE	'㊛	'女	'女	'女	Tr≠N4M			'329B	'5973	'5973	'5973	16. NFKC_CF-Circle
'329C	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SUITABLE	'㊜	'適	'適	'適	Tr≠N4M			'329C	'9069	'9069	'9069	16. NFKC_CF-Circle
'329D	'1.1	'So	'Enc	CIRCLED IDEOGRAPH EXCELLENT	'㊝	'優	'優	'優	Tr≠N4M			'329D	'512A	'512A	'512A	16. NFKC_CF-Circle
'329E	'1.1	'So	'Enc	CIRCLED IDEOGRAPH PRINT	'㊞	'印	'印	'印	Tr≠N4M			'329E	'5370	'5370	'5370	16. NFKC_CF-Circle
'329F	'1.1	'So	'Enc	CIRCLED IDEOGRAPH ATTENTION	'㊟	'注	'注	'注	Tr≠N4M			'329F	'6CE8	'6CE8	'6CE8	16. NFKC_CF-Circle
'32A0	'1.1	'So	'Enc	CIRCLED IDEOGRAPH ITEM	'㊠	'項	'項	'項	Tr≠N4M			'32A0	'9805	'9805	'9805	16. NFKC_CF-Circle
'32A1	'1.1	'So	'Enc	CIRCLED IDEOGRAPH REST	'㊡	'休	'休	'休	Tr≠N4M			'32A1	'4F11	'4F11	'4F11	16. NFKC_CF-Circle
'32A2	'1.1	'So	'Enc	CIRCLED IDEOGRAPH COPY	'㊢	'写	'写	'写	Tr≠N4M			'32A2	'5199	'5199	'5199	16. NFKC_CF-Circle
'32A3	'1.1	'So	'Enc	CIRCLED IDEOGRAPH CORRECT	'㊣	'正	'正	'正	Tr≠N4M			'32A3	'6B63	'6B63	'6B63	16. NFKC_CF-Circle
'32A4	'1.1	'So	'Enc	CIRCLED IDEOGRAPH HIGH	'㊤	'上	'上	'上	Tr≠N4M			'32A4	'4E0A	'4E0A	'4E0A	16. NFKC_CF-Circle
'32A5	'1.1	'So	'Enc	CIRCLED IDEOGRAPH CENTRE	'㊥	'中	'中	'中	Tr≠N4M			'32A5	'4E2D	'4E2D	'4E2D	16. NFKC_CF-Circle
'32A6	'1.1	'So	'Enc	CIRCLED IDEOGRAPH LOW	'㊦	'下	'下	'下	Tr≠N4M			'32A6	'4E0B	'4E0B	'4E0B	16. NFKC_CF-Circle
'32A7	'1.1	'So	'Enc	CIRCLED IDEOGRAPH LEFT	'㊧	'左	'左	'左	Tr≠N4M			'32A7	'5DE6	'5DE6	'5DE6	16. NFKC_CF-Circle
'32A8	'1.1	'So	'Enc	CIRCLED IDEOGRAPH RIGHT	'㊨	'右	'右	'右	Tr≠N4M			'32A8	'53F3	'53F3	'53F3	16. NFKC_CF-Circle
'32A9	'1.1	'So	'Enc	CIRCLED IDEOGRAPH MEDICINE	'㊩	'医	'医	'医	Tr≠N4M			'32A9	'533B	'533B	'533B	16. NFKC_CF-Circle
'32AA	'1.1	'So	'Enc	CIRCLED IDEOGRAPH RELIGION	'㊪	'宗	'宗	'宗	Tr≠N4M			'32AA	'5B97	'5B97	'5B97	16. NFKC_CF-Circle
'32AB	'1.1	'So	'Enc	CIRCLED IDEOGRAPH STUDY	'㊫	'学	'学	'学	Tr≠N4M			'32AB	'5B66	'5B66	'5B66	16. NFKC_CF-Circle
'32AC	'1.1	'So	'Enc	CIRCLED IDEOGRAPH SUPERVISE	'㊬	'監	'監	'監	Tr≠N4M			'32AC	'76E3	'76E3	'76E3	16. NFKC_CF-Circle
'32AD	'1.1	'So	'Enc	CIRCLED IDEOGRAPH ENTERPRISE	'㊭	'企	'企	'企	Tr≠N4M			'32AD	'4F01	'4F01	'4F01	16. NFKC_CF-Circle
'32AE	'1.1	'So	'Enc	CIRCLED IDEOGRAPH RESOURCE	'㊮	'資	'資	'資	Tr≠N4M			'32AE	'8CC7	'8CC7	'8CC7	16. NFKC_CF-Circle
'32AF	'1.1	'So	'Enc	CIRCLED IDEOGRAPH ALLIANCE	'㊯	'協	'協	'協	Tr≠N4M			'32AF	'5354	'5354	'5354	16. NFKC_CF-Circle
'32B0	'1.1	'So	'Enc	CIRCLED IDEOGRAPH NIGHT	'㊰	'夜	'夜	'夜	Tr≠N4M			'32B0	'591C	'591C	'591C	16. NFKC_CF-Circle
'32D0	'1.1	'So	'Enc	CIRCLED KATAKANA A	'㋐	'ア	'ア	'ア	Tr≠N4M			'32D0	'30A2	'30A2	'30A2	16. NFKC_CF-Circle
'32D1	'1.1	'So	'Enc	CIRCLED KATAKANA I	'㋑	'イ	'イ	'イ	Tr≠N4M			'32D1	'30A4	'30A4	'30A4	16. NFKC_CF-Circle
'32D2	'1.1	'So	'Enc	CIRCLED KATAKANA U	'㋒	'ウ	'ウ	'ウ	Tr≠N4M			'32D2	'30A6	'30A6	'30A6	16. NFKC_CF-Circle
'32D3	'1.1	'So	'Enc	CIRCLED KATAKANA E	'㋓	'エ	'エ	'エ	Tr≠N4M			'32D3	'30A8	'30A8	'30A8	16. NFKC_CF-Circle
'32D4	'1.1	'So	'Enc	CIRCLED KATAKANA O	'㋔	'オ	'オ	'オ	Tr≠N4M			'32D4	'30AA	'30AA	'30AA	16. NFKC_CF-Circle
'32D5	'1.1	'So	'Enc	CIRCLED KATAKANA KA	'㋕	'カ	'カ	'カ	Tr≠N4M			'32D5	'30AB	'30AB	'30AB	16. NFKC_CF-Circle
'32D6	'1.1	'So	'Enc	CIRCLED KATAKANA KI	'㋖	'キ	'キ	'キ	Tr≠N4M			'32D6	'30AD	'30AD	'30AD	16. NFKC_CF-Circle
'32D7	'1.1	'So	'Enc	CIRCLED KATAKANA KU	'㋗	'ク	'ク	'ク	Tr≠N4M			'32D7	'30AF	'30AF	'30AF	16. NFKC_CF-Circle
'32D8	'1.1	'So	'Enc	CIRCLED KATAKANA KE	'㋘	'ケ	'ケ	'ケ	Tr≠N4M			'32D8	'30B1	'30B1	'30B1	16. NFKC_CF-Circle
'32D9	'1.1	'So	'Enc	CIRCLED KATAKANA KO	'㋙	'コ	'コ	'コ	Tr≠N4M			'32D9	'30B3	'30B3	'30B3	16. NFKC_CF-Circle
'32DA	'1.1	'So	'Enc	CIRCLED KATAKANA SA	'㋚	'サ	'サ	'サ	Tr≠N4M			'32DA	'30B5	'30B5	'30B5	16. NFKC_CF-Circle
'32DB	'1.1	'So	'Enc	CIRCLED KATAKANA SI	'㋛	'シ	'シ	'シ	Tr≠N4M			'32DB	'30B7	'30B7	'30B7	16. NFKC_CF-Circle
'32DC	'1.1	'So	'Enc	CIRCLED KATAKANA SU	'㋜	'ス	'ス	'ス	Tr≠N4M			'32DC	'30B9	'30B9	'30B9	16. NFKC_CF-Circle
'32DD	'1.1	'So	'Enc	CIRCLED KATAKANA SE	'㋝	'セ	'セ	'セ	Tr≠N4M			'32DD	'30BB	'30BB	'30BB	16. NFKC_CF-Circle
'32DE	'1.1	'So	'Enc	CIRCLED KATAKANA SO	'㋞	'ソ	'ソ	'ソ	Tr≠N4M			'32DE	'30BD	'30BD	'30BD	16. NFKC_CF-Circle
'32DF	'1.1	'So	'Enc	CIRCLED KATAKANA TA	'㋟	'タ	'タ	'タ	Tr≠N4M			'32DF	'30BF	'30BF	'30BF	16. NFKC_CF-Circle
'32E0	'1.1	'So	'Enc	CIRCLED KATAKANA TI	'㋠	'チ	'チ	'チ	Tr≠N4M			'32E0	'30C1	'30C1	'30C1	16. NFKC_CF-Circle
'32E1	'1.1	'So	'Enc	CIRCLED KATAKANA TU	'㋡	'ツ	'ツ	'ツ	Tr≠N4M			'32E1	'30C4	'30C4	'30C4	16. NFKC_CF-Circle
'32E2	'1.1	'So	'Enc	CIRCLED KATAKANA TE	'㋢	'テ	'テ	'テ	Tr≠N4M			'32E2	'30C6	'30C6	'30C6	16. NFKC_CF-Circle
'32E3	'1.1	'So	'Enc	CIRCLED KATAKANA TO	'㋣	'ト	'ト	'ト	Tr≠N4M			'32E3	'30C8	'30C8	'30C8	16. NFKC_CF-Circle
'32E4	'1.1	'So	'Enc	CIRCLED KATAKANA NA	'㋤	'ナ	'ナ	'ナ	Tr≠N4M			'32E4	'30CA	'30CA	'30CA	16. NFKC_CF-Circle
'32E5	'1.1	'So	'Enc	CIRCLED KATAKANA NI	'㋥	'ニ	'ニ	'ニ	Tr≠N4M			'32E5	'30CB	'30CB	'30CB	16. NFKC_CF-Circle
'32E6	'1.1	'So	'Enc	CIRCLED KATAKANA NU	'㋦	'ヌ	'ヌ	'ヌ	Tr≠N4M			'32E6	'30CC	'30CC	'30CC	16. NFKC_CF-Circle
'32E7	'1.1	'So	'Enc	CIRCLED KATAKANA NE	'㋧	'ネ	'ネ	'ネ	Tr≠N4M			'32E7	'30CD	'30CD	'30CD	16. NFKC_CF-Circle
'32E8	'1.1	'So	'Enc	CIRCLED KATAKANA NO	'㋨	'ノ	'ノ	'ノ	Tr≠N4M			'32E8	'30CE	'30CE	'30CE	16. NFKC_CF-Circle
'32E9	'1.1	'So	'Enc	CIRCLED KATAKANA HA	'㋩	'ハ	'ハ	'ハ	Tr≠N4M			'32E9	'30CF	'30CF	'30CF	16. NFKC_CF-Circle
'32EA	'1.1	'So	'Enc	CIRCLED KATAKANA HI	'㋪	'ヒ	'ヒ	'ヒ	Tr≠N4M			'32EA	'30D2	'30D2	'30D2	16. NFKC_CF-Circle
'32EB	'1.1	'So	'Enc	CIRCLED KATAKANA HU	'㋫	'フ	'フ	'フ	Tr≠N4M			'32EB	'30D5	'30D5	'30D5	16. NFKC_CF-Circle
'32EC	'1.1	'So	'Enc	CIRCLED KATAKANA HE	'㋬	'ヘ	'ヘ	'ヘ	Tr≠N4M			'32EC	'30D8	'30D8	'30D8	16. NFKC_CF-Circle
'32ED	'1.1	'So	'Enc	CIRCLED KATAKANA HO	'㋭	'ホ	'ホ	'ホ	Tr≠N4M			'32ED	'30DB	'30DB	'30DB	16. NFKC_CF-Circle
'32EE	'1.1	'So	'Enc	CIRCLED KATAKANA MA	'㋮	'マ	'マ	'マ	Tr≠N4M			'32EE	'30DE	'30DE	'30DE	16. NFKC_CF-Circle
'32EF	'1.1	'So	'Enc	CIRCLED KATAKANA MI	'㋯	'ミ	'ミ	'ミ	Tr≠N4M			'32EF	'30DF	'30DF	'30DF	16. NFKC_CF-Circle
'32F0	'1.1	'So	'Enc	CIRCLED KATAKANA MU	'㋰	'ム	'ム	'ム	Tr≠N4M			'32F0	'30E0	'30E0	'30E0	16. NFKC_CF-Circle
'32F1	'1.1	'So	'Enc	CIRCLED KATAKANA ME	'㋱	'メ	'メ	'メ	Tr≠N4M			'32F1	'30E1	'30E1	'30E1	16. NFKC_CF-Circle
'32F2	'1.1	'So	'Enc	CIRCLED KATAKANA MO	'㋲	'モ	'モ	'モ	Tr≠N4M			'32F2	'30E2	'30E2	'30E2	16. NFKC_CF-Circle
'32F3	'1.1	'So	'Enc	CIRCLED KATAKANA YA	'㋳	'ヤ	'ヤ	'ヤ	Tr≠N4M			'32F3	'30E4	'30E4	'30E4	16. NFKC_CF-Circle
'32F4	'1.1	'So	'Enc	CIRCLED KATAKANA YU	'㋴	'ユ	'ユ	'ユ	Tr≠N4M			'32F4	'30E6	'30E6	'30E6	16. NFKC_CF-Circle
'32F5	'1.1	'So	'Enc	CIRCLED KATAKANA YO	'㋵	'ヨ	'ヨ	'ヨ	Tr≠N4M			'32F5	'30E8	'30E8	'30E8	16. NFKC_CF-Circle
'32F6	'1.1	'So	'Enc	CIRCLED KATAKANA RA	'㋶	'ラ	'ラ	'ラ	Tr≠N4M			'32F6	'30E9	'30E9	'30E9	16. NFKC_CF-Circle
'32F7	'1.1	'So	'Enc	CIRCLED KATAKANA RI	'㋷	'リ	'リ	'リ	Tr≠N4M			'32F7	'30EA	'30EA	'30EA	16. NFKC_CF-Circle
'32F8	'1.1	'So	'Enc	CIRCLED KATAKANA RU	'㋸	'ル	'ル	'ル	Tr≠N4M			'32F8	'30EB	'30EB	'30EB	16. NFKC_CF-Circle
'32F9	'1.1	'So	'Enc	CIRCLED KATAKANA RE	'㋹	'レ	'レ	'レ	Tr≠N4M			'32F9	'30EC	'30EC	'30EC	16. NFKC_CF-Circle
'32FA	'1.1	'So	'Enc	CIRCLED KATAKANA RO	'㋺	'ロ	'ロ	'ロ	Tr≠N4M			'32FA	'30ED	'30ED	'30ED	16. NFKC_CF-Circle
'32FB	'1.1	'So	'Enc	CIRCLED KATAKANA WA	'㋻	'ワ	'ワ	'ワ	Tr≠N4M			'32FB	'30EF	'30EF	'30EF	16. NFKC_CF-Circle
'32FC	'1.1	'So	'Enc	CIRCLED KATAKANA WI	'㋼	'ヰ	'ヰ	'ヰ	Tr≠N4M			'32FC	'30F0	'30F0	'30F0	16. NFKC_CF-Circle
