# Cases where N4M differs from XNFKCCF
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=04+. digraph

1EFA;	1EFB;	006C 006C;	04+. digraph	 # ( Ỻ → ỻ )	LATIN CAPITAL LETTER MIDDLE-WELSH LL → LATIN SMALL LETTER MIDDLE-WELSH LL
33CE;	33CE;	006B 006D;	16. NFKC_CF-Square	 # ( ㏎ → ㏎ )	SQUARE KM CAPITAL → SQUARE KM CAPITAL
33CF;	33CF;	006B 0074;	16. NFKC_CF-Square	 # ( ㏏ → ㏏ )	SQUARE KT → SQUARE KT
33D0;	33D0;	006C 006D;	16. NFKC_CF-Square	 # ( ㏐ → ㏐ )	SQUARE LM → SQUARE LM
33D1;	33D1;	006C 006E;	16. NFKC_CF-Square	 # ( ㏑ → ㏑ )	SQUARE LN → SQUARE LN
33D2;	33D2;	006C 006F 0067;	16. NFKC_CF-Square	 # ( ㏒ → ㏒ )	SQUARE LOG → SQUARE LOG
33D3;	33D3;	006C 0078;	16. NFKC_CF-Square	 # ( ㏓ → ㏓ )	SQUARE LX → SQUARE LX
33D4;	33D4;	006D 0062;	16. NFKC_CF-Square	 # ( ㏔ → ㏔ )	SQUARE MB SMALL → SQUARE MB SMALL
33D5;	33D5;	006D 0069 006C;	16. NFKC_CF-Square	 # ( ㏕ → ㏕ )	SQUARE MIL → SQUARE MIL
33D6;	33D6;	006D 006F 006C;	16. NFKC_CF-Square	 # ( ㏖ → ㏖ )	SQUARE MOL → SQUARE MOL
33D7;	33D7;	0070 0068;	16. NFKC_CF-Square	 # ( ㏗ → ㏗ )	SQUARE PH → SQUARE PH
33D8;	33D8;	0070 002E 006D 002E;	16. NFKC_CF-Square	 # ( ㏘ → ㏘ )	SQUARE PM → SQUARE PM
33D9;	33D9;	0070 0070 006D;	16. NFKC_CF-Square	 # ( ㏙ → ㏙ )	SQUARE PPM → SQUARE PPM
33DA;	33DA;	0070 0072;	16. NFKC_CF-Square	 # ( ㏚ → ㏚ )	SQUARE PR → SQUARE PR
33DB;	33DB;	0073 0072;	16. NFKC_CF-Square	 # ( ㏛ → ㏛ )	SQUARE SR → SQUARE SR
33DC;	33DC;	0073 0076;	16. NFKC_CF-Square	 # ( ㏜ → ㏜ )	SQUARE SV → SQUARE SV
33DD;	33DD;	0077 0062;	16. NFKC_CF-Square	 # ( ㏝ → ㏝ )	SQUARE WB → SQUARE WB
33FF;	33FF;	0067 0061 006C;	16. NFKC_CF-Square	 # ( ㏿ → ㏿ )	SQUARE GAL → SQUARE GAL
1F130;	1F130;	0061;	16. NFKC_CF-Square	 # ( 🄰 → 🄰 )	SQUARED LATIN CAPITAL LETTER A → SQUARED LATIN CAPITAL LETTER A
1F131;	1F131;	0062;	16. NFKC_CF-Square	 # ( 🄱 → 🄱 )	SQUARED LATIN CAPITAL LETTER B → SQUARED LATIN CAPITAL LETTER B
1F132;	1F132;	0063;	16. NFKC_CF-Square	 # ( 🄲 → 🄲 )	SQUARED LATIN CAPITAL LETTER C → SQUARED LATIN CAPITAL LETTER C
1F133;	1F133;	0064;	16. NFKC_CF-Square	 # ( 🄳 → 🄳 )	SQUARED LATIN CAPITAL LETTER D → SQUARED LATIN CAPITAL LETTER D
1F134;	1F134;	0065;	16. NFKC_CF-Square	 # ( 🄴 → 🄴 )	SQUARED LATIN CAPITAL LETTER E → SQUARED LATIN CAPITAL LETTER E
1F135;	1F135;	0066;	16. NFKC_CF-Square	 # ( 🄵 → 🄵 )	SQUARED LATIN CAPITAL LETTER F → SQUARED LATIN CAPITAL LETTER F
1F136;	1F136;	0067;	16. NFKC_CF-Square	 # ( 🄶 → 🄶 )	SQUARED LATIN CAPITAL LETTER G → SQUARED LATIN CAPITAL LETTER G
1F137;	1F137;	0068;	16. NFKC_CF-Square	 # ( 🄷 → 🄷 )	SQUARED LATIN CAPITAL LETTER H → SQUARED LATIN CAPITAL LETTER H
1F138;	1F138;	0069;	16. NFKC_CF-Square	 # ( 🄸 → 🄸 )	SQUARED LATIN CAPITAL LETTER I → SQUARED LATIN CAPITAL LETTER I
1F139;	1F139;	006A;	16. NFKC_CF-Square	 # ( 🄹 → 🄹 )	SQUARED LATIN CAPITAL LETTER J → SQUARED LATIN CAPITAL LETTER J
1F13A;	1F13A;	006B;	16. NFKC_CF-Square	 # ( 🄺 → 🄺 )	SQUARED LATIN CAPITAL LETTER K → SQUARED LATIN CAPITAL LETTER K
1F13B;	1F13B;	006C;	16. NFKC_CF-Square	 # ( 🄻 → 🄻 )	SQUARED LATIN CAPITAL LETTER L → SQUARED LATIN CAPITAL LETTER L
1F13C;	1F13C;	006D;	16. NFKC_CF-Square	 # ( 🄼 → 🄼 )	SQUARED LATIN CAPITAL LETTER M → SQUARED LATIN CAPITAL LETTER M
1F13D;	1F13D;	006E;	16. NFKC_CF-Square	 # ( 🄽 → 🄽 )	SQUARED LATIN CAPITAL LETTER N → SQUARED LATIN CAPITAL LETTER N
1F13E;	1F13E;	006F;	16. NFKC_CF-Square	 # ( 🄾 → 🄾 )	SQUARED LATIN CAPITAL LETTER O → SQUARED LATIN CAPITAL LETTER O
1F13F;	1F13F;	0070;	16. NFKC_CF-Square	 # ( 🄿 → 🄿 )	SQUARED LATIN CAPITAL LETTER P → SQUARED LATIN CAPITAL LETTER P
1F140;	1F140;	0071;	16. NFKC_CF-Square	 # ( 🅀 → 🅀 )	SQUARED LATIN CAPITAL LETTER Q → SQUARED LATIN CAPITAL LETTER Q
1F141;	1F141;	0072;	16. NFKC_CF-Square	 # ( 🅁 → 🅁 )	SQUARED LATIN CAPITAL LETTER R → SQUARED LATIN CAPITAL LETTER R
1F142;	1F142;	0073;	16. NFKC_CF-Square	 # ( 🅂 → 🅂 )	SQUARED LATIN CAPITAL LETTER S → SQUARED LATIN CAPITAL LETTER S
1F143;	1F143;	0074;	16. NFKC_CF-Square	 # ( 🅃 → 🅃 )	SQUARED LATIN CAPITAL LETTER T → SQUARED LATIN CAPITAL LETTER T
1F144;	1F144;	0075;	16. NFKC_CF-Square	 # ( 🅄 → 🅄 )	SQUARED LATIN CAPITAL LETTER U → SQUARED LATIN CAPITAL LETTER U
1F145;	1F145;	0076;	16. NFKC_CF-Square	 # ( 🅅 → 🅅 )	SQUARED LATIN CAPITAL LETTER V → SQUARED LATIN CAPITAL LETTER V
1F146;	1F146;	0077;	16. NFKC_CF-Square	 # ( 🅆 → 🅆 )	SQUARED LATIN CAPITAL LETTER W → SQUARED LATIN CAPITAL LETTER W
1F147;	1F147;	0078;	16. NFKC_CF-Square	 # ( 🅇 → 🅇 )	SQUARED LATIN CAPITAL LETTER X → SQUARED LATIN CAPITAL LETTER X
1F148;	1F148;	0079;	16. NFKC_CF-Square	 # ( 🅈 → 🅈 )	SQUARED LATIN CAPITAL LETTER Y → SQUARED LATIN CAPITAL LETTER Y
1F149;	1F149;	007A;	16. NFKC_CF-Square	 # ( 🅉 → 🅉 )	SQUARED LATIN CAPITAL LETTER Z → SQUARED LATIN CAPITAL LETTER Z
1F14A;	1F14A;	0068 0076;	16. NFKC_CF-Square	 # ( 🅊 → 🅊 )	SQUARED HV → SQUARED HV
1F14B;	1F14B;	006D 0076;	16. NFKC_CF-Square	 # ( 🅋 → 🅋 )	SQUARED MV → SQUARED MV
1F14C;	1F14C;	0073 0064;	16. NFKC_CF-Square	 # ( 🅌 → 🅌 )	SQUARED SD → SQUARED SD
1F14D;	1F14D;	0073 0073;	16. NFKC_CF-Square	 # ( 🅍 → 🅍 )	SQUARED SS → SQUARED SS
1F14E;	1F14E;	0070 0070 0076;	16. NFKC_CF-Square	 # ( 🅎 → 🅎 )	SQUARED PPV → SQUARED PPV
1F14F;	1F14F;	0077 0063;	16. NFKC_CF-Square	 # ( 🅏 → 🅏 )	SQUARED WC → SQUARED WC
1F190;	1F190;	0064 006A;	16. NFKC_CF-Square	 # ( 🆐 → 🆐 )	SQUARE DJ → SQUARE DJ
1F200;	1F200;	307B 304B;	16. NFKC_CF-Square	 # ( 🈀 → 🈀 )	SQUARE HIRAGANA HOKA → SQUARE HIRAGANA HOKA
1F201;	1F201;	30B3 30B3;	16. NFKC_CF-Square	 # ( 🈁 → 🈁 )	SQUARED KATAKANA KOKO → SQUARED KATAKANA KOKO
1F202;	1F202;	30B5;	16. NFKC_CF-Square	 # ( 🈂 → 🈂 )	SQUARED KATAKANA SA → SQUARED KATAKANA SA
1F210;	1F210;	624B;	16. NFKC_CF-Square	 # ( 🈐 → 🈐 )	SQUARED CJK UNIFIED IDEOGRAPH-624B → SQUARED CJK UNIFIED IDEOGRAPH-624B
1F211;	1F211;	5B57;	16. NFKC_CF-Square	 # ( 🈑 → 🈑 )	SQUARED CJK UNIFIED IDEOGRAPH-5B57 → SQUARED CJK UNIFIED IDEOGRAPH-5B57
1F212;	1F212;	53CC;	16. NFKC_CF-Square	 # ( 🈒 → 🈒 )	SQUARED CJK UNIFIED IDEOGRAPH-53CC → SQUARED CJK UNIFIED IDEOGRAPH-53CC
1F213;	1F213;	30C7;	16. NFKC_CF-Square	 # ( 🈓 → 🈓 )	SQUARED KATAKANA DE → SQUARED KATAKANA DE
1F214;	1F214;	4E8C;	16. NFKC_CF-Square	 # ( 🈔 → 🈔 )	SQUARED CJK UNIFIED IDEOGRAPH-4E8C → SQUARED CJK UNIFIED IDEOGRAPH-4E8C
1F215;	1F215;	591A;	16. NFKC_CF-Square	 # ( 🈕 → 🈕 )	SQUARED CJK UNIFIED IDEOGRAPH-591A → SQUARED CJK UNIFIED IDEOGRAPH-591A
1F216;	1F216;	89E3;	16. NFKC_CF-Square	 # ( 🈖 → 🈖 )	SQUARED CJK UNIFIED IDEOGRAPH-89E3 → SQUARED CJK UNIFIED IDEOGRAPH-89E3
1F217;	1F217;	5929;	16. NFKC_CF-Square	 # ( 🈗 → 🈗 )	SQUARED CJK UNIFIED IDEOGRAPH-5929 → SQUARED CJK UNIFIED IDEOGRAPH-5929
1F218;	1F218;	4EA4;	16. NFKC_CF-Square	 # ( 🈘 → 🈘 )	SQUARED CJK UNIFIED IDEOGRAPH-4EA4 → SQUARED CJK UNIFIED IDEOGRAPH-4EA4
1F219;	1F219;	6620;	16. NFKC_CF-Square	 # ( 🈙 → 🈙 )	SQUARED CJK UNIFIED IDEOGRAPH-6620 → SQUARED CJK UNIFIED IDEOGRAPH-6620
1F21A;	1F21A;	7121;	16. NFKC_CF-Square	 # ( 🈚 → 🈚 )	SQUARED CJK UNIFIED IDEOGRAPH-7121 → SQUARED CJK UNIFIED IDEOGRAPH-7121
1F21B;	1F21B;	6599;	16. NFKC_CF-Square	 # ( 🈛 → 🈛 )	SQUARED CJK UNIFIED IDEOGRAPH-6599 → SQUARED CJK UNIFIED IDEOGRAPH-6599
1F21C;	1F21C;	524D;	16. NFKC_CF-Square	 # ( 🈜 → 🈜 )	SQUARED CJK UNIFIED IDEOGRAPH-524D → SQUARED CJK UNIFIED IDEOGRAPH-524D
1F21D;	1F21D;	5F8C;	16. NFKC_CF-Square	 # ( 🈝 → 🈝 )	SQUARED CJK UNIFIED IDEOGRAPH-5F8C → SQUARED CJK UNIFIED IDEOGRAPH-5F8C
1F21E;	1F21E;	518D;	16. NFKC_CF-Square	 # ( 🈞 → 🈞 )	SQUARED CJK UNIFIED IDEOGRAPH-518D → SQUARED CJK UNIFIED IDEOGRAPH-518D
1F21F;	1F21F;	65B0;	16. NFKC_CF-Square	 # ( 🈟 → 🈟 )	SQUARED CJK UNIFIED IDEOGRAPH-65B0 → SQUARED CJK UNIFIED IDEOGRAPH-65B0
1F220;	1F220;	521D;	16. NFKC_CF-Square	 # ( 🈠 → 🈠 )	SQUARED CJK UNIFIED IDEOGRAPH-521D → SQUARED CJK UNIFIED IDEOGRAPH-521D
1F221;	1F221;	7D42;	16. NFKC_CF-Square	 # ( 🈡 → 🈡 )	SQUARED CJK UNIFIED IDEOGRAPH-7D42 → SQUARED CJK UNIFIED IDEOGRAPH-7D42
1F222;	1F222;	751F;	16. NFKC_CF-Square	 # ( 🈢 → 🈢 )	SQUARED CJK UNIFIED IDEOGRAPH-751F → SQUARED CJK UNIFIED IDEOGRAPH-751F
1F223;	1F223;	8CA9;	16. NFKC_CF-Square	 # ( 🈣 → 🈣 )	SQUARED CJK UNIFIED IDEOGRAPH-8CA9 → SQUARED CJK UNIFIED IDEOGRAPH-8CA9
1F224;	1F224;	58F0;	16. NFKC_CF-Square	 # ( 🈤 → 🈤 )	SQUARED CJK UNIFIED IDEOGRAPH-58F0 → SQUARED CJK UNIFIED IDEOGRAPH-58F0
1F225;	1F225;	5439;	16. NFKC_CF-Square	 # ( 🈥 → 🈥 )	SQUARED CJK UNIFIED IDEOGRAPH-5439 → SQUARED CJK UNIFIED IDEOGRAPH-5439
1F226;	1F226;	6F14;	16. NFKC_CF-Square	 # ( 🈦 → 🈦 )	SQUARED CJK UNIFIED IDEOGRAPH-6F14 → SQUARED CJK UNIFIED IDEOGRAPH-6F14
1F227;	1F227;	6295;	16. NFKC_CF-Square	 # ( 🈧 → 🈧 )	SQUARED CJK UNIFIED IDEOGRAPH-6295 → SQUARED CJK UNIFIED IDEOGRAPH-6295
1F228;	1F228;	6355;	16. NFKC_CF-Square	 # ( 🈨 → 🈨 )	SQUARED CJK UNIFIED IDEOGRAPH-6355 → SQUARED CJK UNIFIED IDEOGRAPH-6355
1F229;	1F229;	4E00;	16. NFKC_CF-Square	 # ( 🈩 → 🈩 )	SQUARED CJK UNIFIED IDEOGRAPH-4E00 → SQUARED CJK UNIFIED IDEOGRAPH-4E00
1F22A;	1F22A;	4E09;	16. NFKC_CF-Square	 # ( 🈪 → 🈪 )	SQUARED CJK UNIFIED IDEOGRAPH-4E09 → SQUARED CJK UNIFIED IDEOGRAPH-4E09
1F22B;	1F22B;	904A;	16. NFKC_CF-Square	 # ( 🈫 → 🈫 )	SQUARED CJK UNIFIED IDEOGRAPH-904A → SQUARED CJK UNIFIED IDEOGRAPH-904A
1F22C;	1F22C;	5DE6;	16. NFKC_CF-Square	 # ( 🈬 → 🈬 )	SQUARED CJK UNIFIED IDEOGRAPH-5DE6 → SQUARED CJK UNIFIED IDEOGRAPH-5DE6
1F22D;	1F22D;	4E2D;	16. NFKC_CF-Square	 # ( 🈭 → 🈭 )	SQUARED CJK UNIFIED IDEOGRAPH-4E2D → SQUARED CJK UNIFIED IDEOGRAPH-4E2D
1F22E;	1F22E;	53F3;	16. NFKC_CF-Square	 # ( 🈮 → 🈮 )	SQUARED CJK UNIFIED IDEOGRAPH-53F3 → SQUARED CJK UNIFIED IDEOGRAPH-53F3
1F22F;	1F22F;	6307;	16. NFKC_CF-Square	 # ( 🈯 → 🈯 )	SQUARED CJK UNIFIED IDEOGRAPH-6307 → SQUARED CJK UNIFIED IDEOGRAPH-6307
1F230;	1F230;	8D70;	16. NFKC_CF-Square	 # ( 🈰 → 🈰 )	SQUARED CJK UNIFIED IDEOGRAPH-8D70 → SQUARED CJK UNIFIED IDEOGRAPH-8D70
1F231;	1F231;	6253;	16. NFKC_CF-Square	 # ( 🈱 → 🈱 )	SQUARED CJK UNIFIED IDEOGRAPH-6253 → SQUARED CJK UNIFIED IDEOGRAPH-6253
1F232;	1F232;	7981;	16. NFKC_CF-Square	 # ( 🈲 → 🈲 )	SQUARED CJK UNIFIED IDEOGRAPH-7981 → SQUARED CJK UNIFIED IDEOGRAPH-7981
1F233;	1F233;	7A7A;	16. NFKC_CF-Square	 # ( 🈳 → 🈳 )	SQUARED CJK UNIFIED IDEOGRAPH-7A7A → SQUARED CJK UNIFIED IDEOGRAPH-7A7A
1F234;	1F234;	5408;	16. NFKC_CF-Square	 # ( 🈴 → 🈴 )	SQUARED CJK UNIFIED IDEOGRAPH-5408 → SQUARED CJK UNIFIED IDEOGRAPH-5408
1F235;	1F235;	6E80;	16. NFKC_CF-Square	 # ( 🈵 → 🈵 )	SQUARED CJK UNIFIED IDEOGRAPH-6E80 → SQUARED CJK UNIFIED IDEOGRAPH-6E80
1F236;	1F236;	6709;	16. NFKC_CF-Square	 # ( 🈶 → 🈶 )	SQUARED CJK UNIFIED IDEOGRAPH-6709 → SQUARED CJK UNIFIED IDEOGRAPH-6709
1F237;	1F237;	6708;	16. NFKC_CF-Square	 # ( 🈷 → 🈷 )	SQUARED CJK UNIFIED IDEOGRAPH-6708 → SQUARED CJK UNIFIED IDEOGRAPH-6708
1F238;	1F238;	7533;	16. NFKC_CF-Square	 # ( 🈸 → 🈸 )	SQUARED CJK UNIFIED IDEOGRAPH-7533 → SQUARED CJK UNIFIED IDEOGRAPH-7533
1F239;	1F239;	5272;	16. NFKC_CF-Square	 # ( 🈹 → 🈹 )	SQUARED CJK UNIFIED IDEOGRAPH-5272 → SQUARED CJK UNIFIED IDEOGRAPH-5272
1F23A;	1F23A;	55B6;	16. NFKC_CF-Square	 # ( 🈺 → 🈺 )	SQUARED CJK UNIFIED IDEOGRAPH-55B6 → SQUARED CJK UNIFIED IDEOGRAPH-55B6
1F23B;	1F23B;	914D;	16. NFKC_CF-Square	 # ( 🈻 → 🈻 )	SQUARED CJK UNIFIED IDEOGRAPH-914D → SQUARED CJK UNIFIED IDEOGRAPH-914D

#@override reason=16. NFKC_CF-Square + fix fraction slash + add separator

33A7;	33A7;	0020 006D 002F 0073 0020;	16. NFKC_CF-Square + fix fraction slash + add separator	 # ( ㎧ → ㎧ )	SQUARE M OVER S → SQUARE M OVER S
33AE;	33AE;	0020 0072 0061 0064 002F 0073 0020;	16. NFKC_CF-Square + fix fraction slash + add separator	 # ( ㎮ → ㎮ )	SQUARE RAD OVER S → SQUARE RAD OVER S
33C6;	33C6;	0020 0063 002F 006B 0067 0020;	16. NFKC_CF-Square + fix fraction slash + add separator	 # ( ㏆ → ㏆ )	SQUARE C OVER KG → SQUARE C OVER KG
33DE;	33DE;	0020 0076 002F 006D 0020;	16. NFKC_CF-Square + fix fraction slash + add separator	 # ( ㏞ → ㏞ )	SQUARE V OVER M → SQUARE V OVER M
33DF;	33DF;	0020 0061 002F 006D 0020;	16. NFKC_CF-Square + fix fraction slash + add separator	 # ( ㏟ → ㏟ )	SQUARE A OVER M → SQUARE A OVER M

#@override reason=other

00A0;	00A0;	0020;	other	 # (   →   )	NO-BREAK SPACE → NO-BREAK SPACE
00AD;	00AD;	;	other	 # ( ­ → ­ )	SOFT HYPHEN → SOFT HYPHEN
00BC;	00BC;	0020 0031 002F 0034 0020;	other	 # ( ¼ → ¼ )	VULGAR FRACTION ONE QUARTER → VULGAR FRACTION ONE QUARTER
00BD;	00BD;	0020 0031 002F 0032 0020;	other	 # ( ½ → ½ )	VULGAR FRACTION ONE HALF → VULGAR FRACTION ONE HALF
00BE;	00BE;	0020 0033 002F 0034 0020;	other	 # ( ¾ → ¾ )	VULGAR FRACTION THREE QUARTERS → VULGAR FRACTION THREE QUARTERS
034F;	034F;	;	other	 # ( ͏ → ͏ )	COMBINING GRAPHEME JOINER → COMBINING GRAPHEME JOINER
0374;	0374;	02B9;	other	 # ( ʹ → ʹ )	GREEK NUMERAL SIGN → GREEK NUMERAL SIGN
037E;	037E;	003B;	other	 # ( ; → ; )	GREEK QUESTION MARK → GREEK QUESTION MARK
0387;	0387;	00B7;	other	 # ( · → · )	GREEK ANO TELEIA → GREEK ANO TELEIA
05DA;	05DA;	05DB;	other	 # ( ך → ך )	HEBREW LETTER FINAL KAF → HEBREW LETTER FINAL KAF
05DD;	05DD;	05DE;	other	 # ( ם → ם )	HEBREW LETTER FINAL MEM → HEBREW LETTER FINAL MEM
05DF;	05DF;	05E0;	other	 # ( ן → ן )	HEBREW LETTER FINAL NUN → HEBREW LETTER FINAL NUN
05E3;	05E3;	05E4;	other	 # ( ף → ף )	HEBREW LETTER FINAL PE → HEBREW LETTER FINAL PE
05E5;	05E5;	05E6;	other	 # ( ץ → ץ )	HEBREW LETTER FINAL TSADI → HEBREW LETTER FINAL TSADI
061C;	061C;	;	other	 # ( ؜ → ؜ )	ARABIC LETTER MARK → ARABIC LETTER MARK
0E33;	0E33;	0E4D 0E32;	other	 # ( ำ → ำ )	THAI CHARACTER SARA AM → THAI CHARACTER SARA AM
0F0C;	0F0C;	0F0B;	other	 # ( ༌ → ༌ )	TIBETAN MARK DELIMITER TSHEG BSTAR → TIBETAN MARK DELIMITER TSHEG BSTAR
115F;	115F;	;	other	 # ( ᅟ → ᅟ )	HANGUL CHOSEONG FILLER → HANGUL CHOSEONG FILLER
1160;	1160;	;	other	 # ( ᅠ → ᅠ )	HANGUL JUNGSEONG FILLER → HANGUL JUNGSEONG FILLER
17B4;	17B4;	;	other	 # ( ឴ → ឴ )	KHMER VOWEL INHERENT AQ → KHMER VOWEL INHERENT AQ
17B5;	17B5;	;	other	 # ( ឵ → ឵ )	KHMER VOWEL INHERENT AA → KHMER VOWEL INHERENT AA
180E;	180E;	;	other	 # ( ᠎ → ᠎ )	MONGOLIAN VOWEL SEPARATOR → MONGOLIAN VOWEL SEPARATOR
1C80;	1C80;	0432;	other	 # ( ᲀ → ᲀ )	CYRILLIC SMALL LETTER ROUNDED VE → CYRILLIC SMALL LETTER ROUNDED VE
1C81;	1C81;	0434;	other	 # ( ᲁ → ᲁ )	CYRILLIC SMALL LETTER LONG-LEGGED DE → CYRILLIC SMALL LETTER LONG-LEGGED DE
1C82;	1C82;	043E;	other	 # ( ᲂ → ᲂ )	CYRILLIC SMALL LETTER NARROW O → CYRILLIC SMALL LETTER NARROW O
1C83;	1C83;	0441;	other	 # ( ᲃ → ᲃ )	CYRILLIC SMALL LETTER WIDE ES → CYRILLIC SMALL LETTER WIDE ES
1C84;	1C84;	0442;	other	 # ( ᲄ → ᲄ )	CYRILLIC SMALL LETTER TALL TE → CYRILLIC SMALL LETTER TALL TE
1C85;	1C85;	0442;	other	 # ( ᲅ → ᲅ )	CYRILLIC SMALL LETTER THREE-LEGGED TE → CYRILLIC SMALL LETTER THREE-LEGGED TE
1C86;	1C86;	044A;	other	 # ( ᲆ → ᲆ )	CYRILLIC SMALL LETTER TALL HARD SIGN → CYRILLIC SMALL LETTER TALL HARD SIGN
1C87;	1C87;	0463;	other	 # ( ᲇ → ᲇ )	CYRILLIC SMALL LETTER TALL YAT → CYRILLIC SMALL LETTER TALL YAT
1C88;	1C88;	A64B;	other	 # ( ᲈ → ᲈ )	CYRILLIC SMALL LETTER UNBLENDED UK → CYRILLIC SMALL LETTER UNBLENDED UK
1FEE;	1FEE;	0385;	other	 # ( ΅ → ΅ )	GREEK DIALYTIKA AND OXIA → GREEK DIALYTIKA AND OXIA
1FEF;	1FEF;	0060;	other	 # ( ` → ` )	GREEK VARIA → GREEK VARIA
1FFD;	1FFD;	00B4;	other	 # ( ´ → ´ )	GREEK OXIA → GREEK OXIA
2000;	2000;	0020;	other	 # (   →   )	EN QUAD → EN QUAD
2001;	2001;	0020;	other	 # (   →   )	EM QUAD → EM QUAD
2002;	2002;	0020;	other	 # (   →   )	EN SPACE → EN SPACE
2003;	2003;	0020;	other	 # (   →   )	EM SPACE → EM SPACE
2004;	2004;	0020;	other	 # (   →   )	THREE-PER-EM SPACE → THREE-PER-EM SPACE
2005;	2005;	0020;	other	 # (   →   )	FOUR-PER-EM SPACE → FOUR-PER-EM SPACE
2006;	2006;	0020;	other	 # (   →   )	SIX-PER-EM SPACE → SIX-PER-EM SPACE
2007;	2007;	0020;	other	 # (   →   )	FIGURE SPACE → FIGURE SPACE
2008;	2008;	0020;	other	 # (   →   )	PUNCTUATION SPACE → PUNCTUATION SPACE
2009;	2009;	0020;	other	 # (   →   )	THIN SPACE → THIN SPACE
200A;	200A;	0020;	other	 # (   →   )	HAIR SPACE → HAIR SPACE
200B;	200B;	;	other	 # ( ​ → ​ )	ZERO WIDTH SPACE → ZERO WIDTH SPACE
2011;	2011;	2010;	other	 # ( ‑ → ‑ )	NON-BREAKING HYPHEN → NON-BREAKING HYPHEN
2024;	2024;	002E;	other	 # ( ․ → ․ )	ONE DOT LEADER → ONE DOT LEADER
2025;	2025;	002E 002E;	other	 # ( ‥ → ‥ )	TWO DOT LEADER → TWO DOT LEADER
2026;	2026;	002E 002E 002E;	other	 # ( … → … )	HORIZONTAL ELLIPSIS → HORIZONTAL ELLIPSIS
202F;	202F;	0020;	other	 # (   →   )	NARROW NO-BREAK SPACE → NARROW NO-BREAK SPACE
2033;	2033;	2032 2032;	other	 # ( ″ → ″ )	DOUBLE PRIME → DOUBLE PRIME
2034;	2034;	2032 2032 2032;	other	 # ( ‴ → ‴ )	TRIPLE PRIME → TRIPLE PRIME
2036;	2036;	2035 2035;	other	 # ( ‶ → ‶ )	REVERSED DOUBLE PRIME → REVERSED DOUBLE PRIME
2037;	2037;	2035 2035 2035;	other	 # ( ‷ → ‷ )	REVERSED TRIPLE PRIME → REVERSED TRIPLE PRIME
203C;	203C;	0021 0021;	other	 # ( ‼ → ‼ )	DOUBLE EXCLAMATION MARK → DOUBLE EXCLAMATION MARK
2044;	2044;	002F;	other	 # ( ⁄ → ⁄ )	FRACTION SLASH → FRACTION SLASH
2047;	2047;	003F 003F;	other	 # ( ⁇ → ⁇ )	DOUBLE QUESTION MARK → DOUBLE QUESTION MARK
2048;	2048;	003F 0021;	other	 # ( ⁈ → ⁈ )	QUESTION EXCLAMATION MARK → QUESTION EXCLAMATION MARK
2049;	2049;	0021 003F;	other	 # ( ⁉ → ⁉ )	EXCLAMATION QUESTION MARK → EXCLAMATION QUESTION MARK
2057;	2057;	2032 2032 2032 2032;	other	 # ( ⁗ → ⁗ )	QUADRUPLE PRIME → QUADRUPLE PRIME
205F;	205F;	0020;	other	 # (   →   )	MEDIUM MATHEMATICAL SPACE → MEDIUM MATHEMATICAL SPACE
2060;	2060;	;	other	 # ( ⁠ → ⁠ )	WORD JOINER → WORD JOINER
2061;	2061;	;	other	 # ( ⁡ → ⁡ )	FUNCTION APPLICATION → FUNCTION APPLICATION
2062;	2062;	;	other	 # ( ⁢ → ⁢ )	INVISIBLE TIMES → INVISIBLE TIMES
2063;	2063;	;	other	 # ( ⁣ → ⁣ )	INVISIBLE SEPARATOR → INVISIBLE SEPARATOR
2064;	2064;	;	other	 # ( ⁤ → ⁤ )	INVISIBLE PLUS → INVISIBLE PLUS
2066;	2066;	;	other	 # ( ⁦ → ⁦ )	LEFT-TO-RIGHT ISOLATE → LEFT-TO-RIGHT ISOLATE
2067;	2067;	;	other	 # ( ⁧ → ⁧ )	RIGHT-TO-LEFT ISOLATE → RIGHT-TO-LEFT ISOLATE
2068;	2068;	;	other	 # ( ⁨ → ⁨ )	FIRST STRONG ISOLATE → FIRST STRONG ISOLATE
2069;	2069;	;	other	 # ( ⁩ → ⁩ )	POP DIRECTIONAL ISOLATE → POP DIRECTIONAL ISOLATE
206A;	206A;	;	other	 # ( ⁪ → ⁪ )	INHIBIT SYMMETRIC SWAPPING → INHIBIT SYMMETRIC SWAPPING
206B;	206B;	;	other	 # ( ⁫ → ⁫ )	ACTIVATE SYMMETRIC SWAPPING → ACTIVATE SYMMETRIC SWAPPING
206C;	206C;	;	other	 # ( ⁬ → ⁬ )	INHIBIT ARABIC FORM SHAPING → INHIBIT ARABIC FORM SHAPING
206D;	206D;	;	other	 # ( ⁭ → ⁭ )	ACTIVATE ARABIC FORM SHAPING → ACTIVATE ARABIC FORM SHAPING
206E;	206E;	;	other	 # ( ⁮ → ⁮ )	NATIONAL DIGIT SHAPES → NATIONAL DIGIT SHAPES
206F;	206F;	;	other	 # ( ⁯ → ⁯ )	NOMINAL DIGIT SHAPES → NOMINAL DIGIT SHAPES
20A8;	20A8;	0072 0073;	other	 # ( ₨ → ₨ )	RUPEE SIGN → RUPEE SIGN
2100;	2100;	0020 0061 002F 0063 0020;	other	 # ( ℀ → ℀ )	ACCOUNT OF → ACCOUNT OF
