# DerivedJoiningGroup-11.0.0.txt
# Date: 2017-12-11, 11:13:28 GMT
# © 2017 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Joining Group (listing ArabicShaping.txt, field 3)

#  All code points not explicitly listed for Joining_Group
#  have the value No_Joining_Group.

# @missing: 0000..10FFFF; No_Joining_Group

# ================================================

10F39         ; Sogdian_Lamedh # Lo       SOGDIAN LETTER LAMEDH

# Total code points: 1

# ================================================

10F3A         ; Sogdian_Mem # Lo       SOGDIAN LETTER MEM

# Total code points: 1

# ================================================

10F3B         ; Sogdian_Nun # Lo       SOGDIAN LETTER NUN

# Total code points: 1

# ================================================

10F3C         ; Sogdian_Samekh # Lo       SOGDIAN LETTER SAMEKH

# Total code points: 1

# ================================================

10F3D         ; Sogdian_Ayin # Lo       SOGDIAN LETTER AYIN

# Total code points: 1

# ================================================

10F3E         ; Sogdian_Pe # Lo       SOGDIAN LETTER PE

# Total code points: 1

# ================================================

10F3F         ; Sogdian_Sadhe # Lo       SOGDIAN LETTER SADHE

# Total code points: 1

# ================================================

10F40         ; Sogdian_Resh_Ayin # Lo       SOGDIAN LETTER RESH-AYIN

# Total code points: 1

# ================================================

10F41         ; Sogdian_Shin # Lo       SOGDIAN LETTER SHIN

# Total code points: 1

# ================================================

10F42         ; Sogdian_Taw # Lo       SOGDIAN LETTER TAW

# Total code points: 1

# ================================================

10F43         ; Sogdian_Feth # Lo       SOGDIAN LETTER FETH

# Total code points: 1

# ================================================

10F44         ; Sogdian_Lesh # Lo       SOGDIAN LETTER LESH

# Total code points: 1

# ================================================

10F45         ; Sogdian_Phonogram_Shin # Lo       SOGDIAN PHONOGRAM SHIN

# Total code points: 1

# ================================================

10F51         ; Sogdian_One # No       SOGDIAN NUMBER ONE

# Total code points: 1

# ================================================

10F52         ; Sogdian_Ten # No       SOGDIAN NUMBER TEN

# Total code points: 1

# ================================================

10F53         ; Sogdian_Twenty # No       SOGDIAN NUMBER TWENTY

# Total code points: 1

# ================================================

10F54         ; Sogdian_One_Hundred # No       SOGDIAN NUMBER ONE HUNDRED

# Total code points: 1

# EOF
